Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",3rd,"$ 703,000"
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",5th,"$ 460,600"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",20th,"$ 48,600"
15-Apr-2023,"€ 100 + 20 +€100 No Limit Hold'em - Bounty KingPokercode Festival 2023, Madrid",6th,$ 607
13-Sep-2022,"$ 50,000 No Limit Hold'em - Turbo (Event #9)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 545,000"
28-Aug-2022,"$ 10,000 No Limit Hold'em - Super Million$ High Roller ONLINE (Online Bracelet Event #12)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",55th,"$ 27,029"
04-Apr-2022,"$ 50,000 No Limit Hold'em - 8-Handed Turbo - Triton Cyprus #6Triton Poker Cyprus - Special Edition, Kyrenia",1st,"$ 676,000"
15-Aug-2021,"$ 10,000 No Limit Hold'em - Super MILLION$ High Roller ONLINE (Event #11)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",20th,"$ 53,391"
06-Aug-2020,"$ 1,000 No Limit Hold'em (Event #52)World Series of Poker - WSOP Online 2020 at GGPoker, Online",168th,"$ 2,476"
29-Jul-2020,"$ 2,500 No Limit Hold'em 6-Handed (Event #44)World Series of Poker - WSOP Online 2020 at GGPoker, Online",85th,"$ 6,022"
30-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #22)Super High Roller Bowl Online, Online",2nd,"$ 150,150"
27-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #13)Super High Roller Bowl Online, Online",4th,"$ 63,000"
26-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #12)Super High Roller Bowl Online, Online",9th,"$ 25,091"
10-May-2020,"$ 3,000 + 200 No Limit Hold'em - WPT Online Championship Main EventWorld Poker Tour - WPT Online Championship by partypoker, Online",20th,"$ 28,755"
25-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #28 (ONLINE)Poker Masters Online, Online",2nd,"$ 148,200"
13-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #04 (ONLINE)Poker Masters Online, Online",12th,"$ 20,400"
07-Mar-2020,"$ 25,500 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",3rd,"$ 203,000"
15-Dec-2019,"€ 10,300 No Limit Hold'em - EPT Prague High Roller (Event #39)European Poker Tour - EPT Prague, Prague",4th,"$ 223,980"
12-Dec-2019,"€ 25,000 No Limit Hold'em (Event #25)European Poker Tour - EPT Prague, Prague",3rd,"$ 193,177"
23-Oct-2019,"€ 100,000 No Limit Hold'em - Diamond High Roller (Event #12)World Series of Poker Europe - WSOPE 2019, Rozvadov",5th,"$ 508,484"
02-Aug-2019,"£ 50,000 No Limit Hold'em - 8 Handed (Event #3)Triton Poker Super High Roller Series London, London",5th,"$ 468,066"
07-Jul-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 29Aria Summer High Rollers, Las Vegas",2nd,"$ 30,000"
26-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 22Aria Summer High Rollers, Las Vegas",4th,"$ 39,000"
13-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 16Aria Summer High Rollers, Las Vegas",5th,"$ 36,000"
05-Jun-2019,"$ 10,000 No Limit Hold'em - Heads-Up (Event #15)50th World Series of Poker - WSOP 2019, Las Vegas",5th,"$ 31,151"
25-May-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 09Aria Summer High Rollers, Las Vegas",5th,"$ 25,600"
08-May-2019,"HK$ 1,000,000 No Limit Hold'em - Triton Montenegro Main Event (Event #5)Triton Poker Super High Roller Series Montenegro, Budva",8th,"HK$ 2,680,000"
29-Apr-2019,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Monte Carlo, Monte Carlo",10th,"$ 341,462"
11-Jan-2019,"$ 10,300 No Limit Hold'em - PCA Main Event (Event #20)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",14th,"$ 55,977"
10-Dec-2018,"€ 50,000 No Limit Hold'em - EPT Super High Roller #11European Poker Tour - EPT Prague, Prague",1st,"$ 77,620"
24-Oct-2018,"€ 25,000 + 500 No Limit Hold'em - Highroller (Event #8)World Series of Poker Europe - WSOPE 2018, Rozvadov",9th,"$ 744,456"
31-Aug-2018,"€ 10,300 No Limit Hold'em - High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",53rd,"$ 82,370"
28-Aug-2018,"€ 50,000 No Limit Hold'em (Event #17)European Poker Tour - EPT Barcelona, Barcelona",9th,"$ 22,850"
24-Aug-2018,"€ 25,000 + 1,000 No Limit Hold'em - Charity Event (Event #35)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 113,078"
08-Jul-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-16, Las Vegas",4th,"$ 112,697"
25-Jun-2018,"$ 3,500 No Limit Hold'em - MSPT Big Blind Ante Event #89DeepStack Championship Poker Series, Las Vegas",40th,"$ 60,000"
09-Jun-2018,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #21)49th World Series of Poker - WSOP 2018, Las Vegas",80th,"$ 11,574"
