Date,Event Name,Placement,Earning
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 190,000"
13-May-2023,"$ 40,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series Cyprus, Kyrenia",14th,"$ 82,500"
01-Feb-2023,"$ 24,010 + 990 No Limit Hold'em - PCA High Roller (Event #59)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",22nd,"$ 50,400"
16-Aug-2022,"€ 50,000 No Limit Hold'em (Event #34)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 941,721"
12-Aug-2022,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 256,447"
13-May-2022,"€ 20,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Series Madrid, Madrid",1st,"$ 496,922"
21-Nov-2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 1,958,569"
19-Oct-2021,"$ 50,000 No Limit Hold'em High Roller - 8 Handed (Event #38)52nd World Series of Poker - WSOP 2021, Las Vegas",1st,"$ 1,132,968"
27-Sep-2021,"$ 300,000 No Limit Hold'em - Super High Roller BowlPokerGO Tour - PGT Super High Roller Bowl (SHRB) VI, Las Vegas",1st,"$ 3,402,000"
18-Sep-2021,"$ 100,000 No Limit Hold'em - Poker Masters #12PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",1st,"$ 1,160,000"
12-Sep-2021,"$ 500 No Limit Hold'em - The Closer ONLINE (Event #33)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",662nd,"$ 1,315"
15-Aug-2021,"$ 10,000 No Limit Hold'em - Super MILLION$ High Roller ONLINE (Event #11)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",12th,"$ 73,252"
16-May-2021,"$ 10,000 + 300 WPT High Roller - Online 1 Day Event  (Event #5)World Poker Tour - WPT Online Series by partypoker, Online",3rd,"$ 116,183"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",793rd,"$ 2,074"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",16th,"$ 40,204"
01-Jun-2020,"$ 100,000 + 2,000 No Limit Hold'em - Super High Roller Bowl Online (Event #28)Super High Roller Bowl Online, Online",2nd,"$ 1,187,500"
28-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #16)Super High Roller Bowl Online, Online",5th,"$ 46,875"
23-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #3)Super High Roller Bowl Online, Online",7th,"$ 28,025"
05-May-2020,"$ 2,000 + 100 No Limit Hold'em - 6-Max Bounty HunterWorld Poker Tour - WPT Online Championship by partypoker, Online",6th,"$ 12,550"
17-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #11 (ONLINE)Poker Masters Online, Online",1st,"$ 294,037"
12-Apr-2020,"$ 25,000 + 500 No Limit Hold'em - Poker Masters #01 (ONLINE)Poker Masters Online, Online",5th,"$ 96,250"
31-Jan-2020,"A$ 100,000 No Limit Hold'em (Event #7)Australian Poker Open, Gold Coast",1st,"A$ 1,288,000"
29-Jan-2020,"A$ 25,000 No Limit Hold'em (Event #5)Australian Poker Open, Gold Coast",4th,"$ 862,311"
26-Aug-2019,"€ 25,000 No Limit Hold'em (Event #24)European Poker Tour - EPT Barcelona, Barcelona",3rd,"A$ 117,500"
08-Jul-2019,"$ 50,000 No Limit Hold'em - High Roller (Event #90)50th World Series of Poker - WSOP 2019, Las Vegas",3rd,"$ 79,368"
28-Jun-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Vegaspartypoker LIVE - partypoker MILLIONS Vegas, Las Vegas",29th,"$ 255,137"
25-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 21Aria Summer High Rollers, Las Vegas",1st,"$ 697,375"
07-Jun-2019,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #19)50th World Series of Poker - WSOP 2019, Las Vegas",1078th,"$ 35,000"
04-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 12Aria Summer High Rollers, Las Vegas",1st,"$ 81,000"
08-Mar-2019,"HK$ 1,000,000 No Limit Hold'em - Triton Refresh (Event #7)Triton Poker Super High Roller Series Jeju, Jeju",4th,"$ 2,421"
16-Dec-2018,"€ 10,300 No Limit Hold'em - EPT Prague High Roller #34European Poker Tour - EPT Prague, Prague",8th,"$ 136,000"
13-Dec-2018,"€ 25,000 No Limit Hold'em -  Single Day Event #21European Poker Tour - EPT Prague, Prague",4th,"HK$ 2,800,000"
26-Oct-2018,"€ 95,000 + 5,000 No Limit Hold'em - Super High Roller (Event #9)World Series of Poker Europe - WSOPE 2018, Rozvadov",8th,"$ 356,702"
25-Sep-2018,"HK$ 190,000 + 10,000 No Limit Hold'em - Super High RollerPoker King Cup Macau 2018, Macau",4th,"$ 71,603"
11-Jul-2018,"$ 10,000 No Limit Hold'em - 6 Handed Big Blind Ante (Event #74)49th World Series of Poker - WSOP 2018, Las Vegas",16th,"$ 144,375"
11-Jun-2018,"$ 2,620 No Limit Hold'em - The Marathon (Event #24)49th World Series of Poker - WSOP 2018, Las Vegas",1st,"$ 300,918"
23-Mar-2018,"HK$ 100,000 No Limit Hold'em - APPT High Roller (Event #18)Asia Pacific Poker Tour - APPT Macau, Macau",20th,"HK$ 469,000"
08-Feb-2018,"HK$ 23,000 + 2,000 No Limit Hold'em (Event #26)Asia Pacific Poker Tour - APPT Macau Poker Cup, Macau",19th,"$ 60,054"
17-Jan-2018,"A$ 1,025 + 125 No Limit Hold'em - Opening Event (Event #1)2018 Aussie Millions Poker Championship, Melbourne",2nd,"$ 32,700"
26-Jul-2017,"A$ 4,750 + 250 No Limit Hold'em - $5K Challenge (Event #4)2017 Sydney Championships, Sydney",4th,"$ 653,581"
07-Jul-2017,"$ 1,000 No Limit Hold'em - WSOP.com Online Championship (Event #71)48th World Series of Poker - WSOP 2017, Las Vegas",100th,"HK$ 218,000"
01-Jul-2017,"$ 3,333 No Limit Hold'em High Roller - WSOP.com Online (Event #61)48th World Series of Poker - WSOP 2017, Las Vegas",38th,"$ 27,781"
12-Jun-2017,"$ 2,620 No Limit Hold'em - The Marathon (Event #23)48th World Series of Poker - WSOP 2017, Las Vegas",105th,"HK$ 59,000"
