Date,Event Name,Placement,Earning
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",597th,"$ 32,500"
13-Oct-2022,"$ 600 No Limit Hold'em (WSOPC Ring Event 1)World Series of Poker Circuit - WSOPC Florida, Pompano Beach",118th,$ 947
07-Jul-2022,"$ 320 No Limit Hold'em (Event #2) ONLINEWorld Series of Poker Circuit - WSOPC ONLINE Series, Online",35th,$ 791
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",25th,"$ 18,625"
17-Jun-2022,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #37)53rd World Series of Poker - WSOP 2022, Las Vegas",27th,"$ 35,573"
12-Jun-2022,"$ 400 No Limit Hold'em - Ultra Deepstack (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",150th,$ 909
03-Dec-2021,"$ 300 + 50 No Limit Hold'em (Event #4)Palm Beach Winter Classic, West Palm Beach",1st,"$ 33,155"
12-Oct-2021,"$ 1,100 No Limit Hold'em - MSPT Event (Event #19)DeepStack Championship Poker Series II, Las Vegas",161st,"$ 2,352"
14-Jul-2021,"$ 500 No Limit Hold'em ONLINE (WSOP Event #14)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",124th,$ 839
09-Jul-2021,"$ 400 No Limit Hold'em - 6-Max ONLINE (WSOP Event #9)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",149th,$ 701
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",9th,"$ 91,035"
14-Jul-2019,"$ 500 No Limit Hold'em - WSOP.com Online Summer Saver (Event #88)50th World Series of Poker - WSOP 2019, Las Vegas",34th,"$ 3,597"
12-Jul-2019,"$ 1,500 No Limit Hold'em - The Closer (Event #84)50th World Series of Poker - WSOP 2019, Las Vegas",169th,"$ 3,500"
