Date,Event Name,Placement,Earning
01-Jul-2023,"$ 2,500 Mixed Games: Big Bet (Bracelet Event 73)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 4,021"
25-May-2023,"$ 20,000 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 94,800"
22-May-2023,"$ 30,000 Pot Limit Omaha (Event #13)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 347,000"
14-May-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 184,500"
30-Apr-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event 19)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 825,731"
10-Mar-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #11)Triton Poker Super High Roller Series Vietnam, Hoi An",6th,"$ 91,200"
02-Mar-2023,"$ 15,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Vietnam, Hoi An",11th,"$ 50,300"
21-Feb-2023,"€ 25,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Paris, Paris",1st,"$ 346,773"
28-Jan-2023,"$ 10,200 No Limit Hold'em - PSPC Warm-Up! (Event #38)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",13th,"$ 31,900"
22-Jan-2023,"$ 98,000 + 1,000 No Limit Hold'em - PCA Super High Roller (Event #1)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",5th,"$ 404,100"
15-Dec-2022,"€ 24,500 + 500 No Limit Hold'em (Event #37)European Poker Tour - EPT Prague, Prague",4th,"$ 102,918"
26-Oct-2022,"£ 9,700 + 600 No Limit Hold'em - EPT London High Roller (Event #40)European Poker Tour - EPT London, London",7th,"$ 68,411"
18-Sep-2022,"$ 1,500 No Limit Hold'em - FIFTY STACK Bounty ONLINE (Online Bracelet Event #27)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",165th,"$ 2,354"
11-Sep-2022,"$ 1,050 No Limit Hold'em - GGMasters HR Freezeout ONLINE (Online Bracelet Event #22)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",114th,"$ 3,460"
17-Aug-2022,"€ 2,000 No Limit Hold'em - EPT Platinum Pass Mystery Bounty (Event #38)European Poker Tour - EPT Barcelona, Barcelona",83rd,"$ 4,659"
14-Aug-2022,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",7th,"$ 328,390"
16-Jul-2022,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",73rd,"$ 8,085"
12-Jul-2022,"$ 3,200 No Limit Hold'em - High Roller 8-Max (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",44th,"$ 6,853"
10-Jul-2022,"$ 7,777 No Limit Hold'em - Lucky 7s High Roller (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",6th,"$ 73,401"
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",10th,"$ 33,924"
23-Jun-2022,"$ 2,000 No Limit Hold'em (Event #49)53rd World Series of Poker - WSOP 2022, Las Vegas",2nd,"$ 326,296"
16-Jun-2022,"$ 2,500 Mixed Big Bet (Event #35)53rd World Series of Poker - WSOP 2022, Las Vegas",37th,"$ 4,000"
17-May-2022,"€ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Series Madrid, Madrid",4th,"$ 506,602"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",7th,"$ 137,745"
05-Apr-2022,"$ 75,000 No Limit Short Deck Hold'em - Triton Cyprus #3Triton Poker Cyprus - Special Edition, Kyrenia",3rd,"$ 538,000"
14-Mar-2022,"€ 10,000 + 300 No Limit Hold'em - EPT High Roller (Event #46)European Poker Tour - EPT Prague, Prague",6th,"$ 134,007"
