Date,Event Name,Placement,Earning
11-Apr-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 44)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",11th,"$ 78,250"
09-Aug-2020,"$ 8,000 No Limit Hold'em Asia Championship (Event #55)World Series of Poker - WSOP Online 2020 at GGPoker, Online",361st,"$ 2,503"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",718th,"$ 2,115"
26-Jul-2020,"$ 2,500 Pot Limit Omaha (Event #40)World Series of Poker - WSOP Online 2020 at GGPoker, Online",50th,"$ 5,877"
26-Jul-2020,"$ 400 No Limit Hold'em - COLOSSUS (Event #10)World Series of Poker - WSOP Online 2020 at GGPoker, Online",61st,"$ 5,339"
22-Jul-2020,"$ 1,500 FIFTY STACK No Limit Hold'em (Event #36)World Series of Poker - WSOP Online 2020 at GGPoker, Online",35th,"$ 6,347"
28-Oct-2019,"C$ 5,000 + 300 No Limit Hold'em - High RollerWorld Poker Tour - WPT Montreal in partnership with partypoker LIVE, Kahnawake",18th,"C$ 11,945"
21-May-2019,"C$ 10,000 + 300 No Limit Hold'em - MILLIONS North Americapartypoker LIVE - partypoker MILLIONS North America, Kahnawake",22nd,"$ 9,144"
05-May-2017,"C$ 5,000 + 300 No Limit Hold'em partypoker MILLION North America (Event #2)partypoker LIVE - partypoker MILLION North America, Kahnawake",109th,"C$ 30,000"
19-Mar-2017,"$ 10,300 No Limit Hold'em (Event #42)PokerStars Championship Panama, Panama City",4th,"$ 22,360"
08-Jan-2017,"$ 4,717 + 283 No Limit Hold'em - PokerStars Championship Main Event (Event #23)PokerStars Championship Bahamas, Paradise Island",52nd,"C$ 10,000"
28-Aug-2016,"€ 2,000 + 150 No Limit Hold'em - Turbo 6 Handed (Event #61)European Poker Tour - EPT Barcelona, Barcelona",36th,"$ 7,281"
22-Aug-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #24)European Poker Tour - EPT Barcelona, Barcelona",259th,"$ 31,920"
06-May-2016,"€ 10,000 + 200 No Limit Hold'em - Turbo 6Max #79European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",7th,"$ 11,560"
20-Feb-2016,"€ 5,000 + 200 #64 No Limit Hold'em Turbo - 6 HandedEuropean Poker Tour - EPT Dublin, Dublin",4th,"$ 2,993"
10-Feb-2016,"€ 5,000 + 300 #5 No Limit Hold'emEuropean Poker Tour - EPT Dublin, Dublin",2nd,"$ 9,803"
11-Jan-2016,"$ 5,300 #66 No Limit Hold'em - 6-Handed TurboPokerStars Caribbean Adventure - PCA 2016, Paradise Island",5th,"$ 38,912"
03-Jan-2016,"$ 196,000 + 4,000 No Limit Hold'em Triton Super High Roller Series (Event #3)World Poker Tour - WPT National Philippines, Paranaque City",8th,"$ 20,454"
13-Dec-2015,"€ 5,000 + 200 #78 No Limit Hold'em -HyperturboEuropean Poker Tour - EPT Prague, Prague",7th,"$ 24,518"
10-Dec-2015,"€ 5,000 + 300 #38 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Prague, Prague",139th,"$ 23,460"
13-Nov-2015,"C$ 3,500 + 350 No Limit Hold'em - partypoker.net WPT Main Event (Event #9)World Poker Tour - partypoker.net WPT Montreal, Kahnawake",71st,"$ 351,320"
23-Oct-2015,"€ 25,000 + 750 #16 No Limit Hold'em   - High Roller - 8 HandedEuropean Poker Tour - EPT Malta, St. Julian’s",1st,"$ 15,108"
25-Aug-2015,"€ 25,000 + 500 No Limit Hold'em - High Roller 8Max #36European Poker Tour - EPT Barcelona, Barcelona",5th,"$ 10,083"
22-Aug-2015,"€ 48,500 + 1,500 No Limit Hold'em - Super High Roller 8Max #19European Poker Tour - EPT Barcelona, Barcelona",12th,"C$ 7,030"
01-Feb-2015,"A$ 245,000 + 5,000 #21 The LK Boutique Challenge2015 Aussie Millions Poker Championship, Melbourne",2nd,"$ 5,295"
20-Nov-2014,"C$ 3,500 + 350 No Limit Hold'em WPT MontrealWorld Poker Tour - WPT Montreal, Kahnawake",74th,"$ 561,622"
26-Aug-2014,"€ 2,000 + 200 #36 No Limit Hold'em - Deepstack 8MaxEuropean Poker Tour - EPT Barcelona, Barcelona",19th,"$ 295,375"
11-Jun-2014,"$ 1,500 No Limit Hold'em (Event #26)45th World Series of Poker - WSOP 2014, Las Vegas",73rd,"$ 99,230"
26-Mar-2014,"€ 500 + 50 No Limit Hold'em - Turbo - BountyEuropean Poker Tour - EPT Vienna, Vienna",24th,"A$ 1,592,000"
07-Feb-2014,"A$ 100,000 No Limit Hold'em - $100,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",2nd,"$ 1,235,228"
05-Jan-2014,"$ 98,000 + 2,000 No Limit Hold'em - Super High RollerPokerStars Caribbean Adventure - PCA 2014, Paradise Island",8th,"C$ 6,170"
16-Nov-2013,"$ 97,000 + 3,000 No Limit Hold'em - WPT Alpha8World Poker Tour - WPT Alpha8 Saint Kitts, St. Kitts",3rd,"$ 5,444"
12-May-2013,"€ 10,000 + 300 No Limit Hold'em - 6 Max TurboEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",2nd,"$ 5,873"
23-Apr-2013,"€ 2,000 + 150 No Limit Hold'emEuropean Poker Tour - EPT Berlin, Berlin",22nd,"$ 4,626"
10-Jan-2013,"$ 1,000 + 25 Zoom Mobile Challenge (Event #10)PokerStars Caribbean Adventure - PCA 2013, Paradise Island",7th,"$ 1,520"
23-Nov-2012,"$ 3,000 + 300 No Limit Hold'em - Main EventWorld Poker Tour - WPT Montreal, Kahnawake",27th,"A$ 1,500,000"
27-Sep-2012,"€ 1,500 + 150 Pot Limit Omaha - Six Handed (Event #6)World Series Of Poker Europe - WSOPE 2012, Cannes",11th,"$ 1,343,436"
17-Aug-2012,"€ 50,000 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT Barcelona, Barcelona",5th,"$ 217,320"
03-Jul-2012,"$ 10,000 No Limit Hold'em - Six Handed (Event #57)43rd World Series of Poker - WSOP 2012, Las Vegas",44th,"$ 434,560"
25-Jun-2012,"$ 2,500 No Limit Hold'em (Event #46)43rd World Series of Poker - WSOP 2012, Las Vegas",81st,"$ 110,932"
01-May-2012,"€ 10,000 + 300 No Limit Hold'em - 6 Max Turbo High RollerEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",8th,"$ 6,619"
12-Mar-2012,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Madrid, Madrid",9th,"$ 2,660"
05-Dec-2011,"€ 5,000 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Prague, Prague",27th,"$ 17,615"
01-Dec-2011,"€ 3,200 + 300 No Limit Hold'em - Main EventWorld Poker Tour - WPT Prague, Prague",63rd,"$ 6,658"
21-Oct-2011,"€ 4,600 + 300 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Sanremo, Sanremo",18th,"$ 264,283"
