Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",7th,"$ 283,000"
16-Jul-2023,"$ 10,000 No Limit Hold'em - Short Deck (Bracelet Event 93)54th World Series of Poker - WSOP 2023, Las Vegas",13th,"$ 19,636"
24-May-2023,"$ 50,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 515,000"
16-May-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #8)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 1,200,000"
29-Apr-2023,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event 16)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 1,112,687"
11-Mar-2023,"$ 50,000 No Limit Short Deck Hold'em - Ante Only (Event #12)Triton Poker Super High Roller Series Vietnam, Hoi An",6th,"$ 140,000"
20-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #36PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",4th,"$ 42,900"
01-Oct-2022,"$ 50,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 92,500"
14-Sep-2022,"$ 30,000 No Limit Short Deck Hold'em - Ante Only (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 131,000"
28-Aug-2022,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Online Bracelet Event #13)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",100th,"$ 6,005"
14-Aug-2022,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 2,031,303"
19-Jun-2022,"$ 100,000 No Limit Hold'em - High Roller 8-Handed (Event #42)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 255,001"
23-May-2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",3rd,"$ 894,349"
