Date,Event Name,Placement,Earning
16-Jul-2023,"$ 1,000 No Limit Hold'em - Freezeout (Bracelet Event 92)54th World Series of Poker - WSOP 2023, Las Vegas",45th,"$ 4,817"
27-Jun-2023,"$ 888 No Limit Hold'em - Crazy 8's (Online Bracelet Event 11) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",187th,"$ 1,478"
15-Jun-2023,"$ 2,000 No Limit Hold'em (Bracelet Event 37)54th World Series of Poker - WSOP 2023, Las Vegas",134th,"$ 4,346"
28-May-2023,"درهم 15,000 No Limit Hold'em - High Roller (Event #16)Winamax SISMIX Marrakech - 6e Édition, Marrakech",10th,"$ 3,871"
01-Feb-2023,"$ 24,010 + 990 No Limit Hold'em - PCA High Roller (Event #59)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",6th,"$ 201,300"
29-Jan-2023,"$ 5,200 + 5,000 No Limit Hold'em - Mystery Bounty (Event #42)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",12th,"$ 11,700"
22-Nov-2022,"$ 3,000 + 300 No Limit Hold'em - Main Event (Event #19)Merit Poker Vintage Series, Kyrenia",5th,"$ 96,150"
28-Sep-2022,"€ 440 + 60 No Limit Hold'em - WPO Main Event (Event #11)Winamax Poker Open - WPO Bratislava, Bratislava",200th,"$ 1,058"
09-Aug-2022,"€ 1,100 No Limit Hold'em - Estrellas Poker Tour Main Event (Event #6)European Poker Tour - EPT Barcelona, Barcelona",411th,"$ 3,677"
25-Jun-2022,"$ 5,000 Mixed No Limit Hold'em/Pot-Limit Omaha - 8-Handed (Event #53)53rd World Series of Poker - WSOP 2022, Las Vegas",28th,"$ 19,650"
07-Jun-2022,"$ 1,500 No Limit Hold'em - 6-Handed (Event #14)53rd World Series of Poker - WSOP 2022, Las Vegas",13th,"$ 27,858"
19-Oct-2021,"$ 50,000 No Limit Hold'em High Roller - 8 Handed (Event #38)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 126,141"
05-Sep-2021,"$ 888 No Limit Hold'em - $888 CRAZY EIGHTS ONLINE (Event #26)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",105th,"$ 3,297"
03-Sep-2020,"$ 1,050 No Limit Hold'em - Bounty [Spin the Wheel] (Event #81)World Series of Poker - WSOP Online 2020 at GGPoker, Online",256th,"$ 1,743"
30-Aug-2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",273rd,"$ 2,108"
12-Aug-2020,"$ 2,500 Double Stack No Limit Hold'em (Event #59)World Series of Poker - WSOP Online 2020 at GGPoker, Online",124th,"$ 5,478"
02-Aug-2020,"$ 500 Turbo Deepstack No Limit Hold'em (Event #49)World Series of Poker - WSOP Online 2020 at GGPoker, Online",140th,"$ 1,697"
26-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #30 (ONLINE)Poker Masters Online, Online",4th,"$ 124,100"
18-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #14 (ONLINE)Poker Masters Online, Online",1st,"$ 279,300"
19-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Main Eventpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",37th,"$ 40,000"
30-Aug-2019,"€ 10,300 No Limit Hold'em - EPT High Roller (Event #43)European Poker Tour - EPT Barcelona, Barcelona",29th,"$ 30,599"
01-Jul-2019,"$ 5,000 No Limit Hold'em - 6-Handed (Event #70)50th World Series of Poker - WSOP 2019, Las Vegas",119th,"$ 7,402"
21-May-2019,"€ 900 + 100 No Limit Hold'em - SISMIX High Roller (Event #7)Winamax Poker Tour - WiPT SISMIX Costa Brava, Lloret de Mar",4th,"$ 19,430"
28-Apr-2019,"€ 2,150 No Limit Hold'em - Hyper Turbo Knockout (Event #14)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 4,584"
06-Jan-2019,"$ 25,000 No Limit Hold'em - PSPC PokerStars Players Championship (Event #2)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",56th,"$ 56,800"
27-Oct-2018,"€ 10,000 + 350 No Limit Hold'em - Main Event (Event #10)World Series of Poker Europe - WSOPE 2018, Rozvadov",78th,"$ 17,152"
27-Aug-2018,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #13)European Poker Tour - EPT Barcelona, Barcelona",92nd,"$ 19,415"
