Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",16th,"$ 100,000"
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",7th,"$ 1,170,000"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",617th,"$ 30,000"
03-Apr-2023,"$ 50,000 No Limit Hold'em - U.S. Poker Open #10PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",2nd,"$ 444,000"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",12th,"$ 121,600"
01-Mar-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 286,300"
20-Feb-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #16)European Poker Tour - EPT Paris, Paris",135th,"$ 13,090"
17-Feb-2023,"€ 25,000 No Limit Hold'em (Event #7)European Poker Tour - EPT Paris, Paris",4th,"$ 126,852"
23-Jan-2023,"$ 9,700 + 600 No Limit Hold'em - PCA Main Event (Event #6)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",27th,"$ 44,700"
13-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",12th,"$ 18,000"
10-Nov-2022,"€ 50,000 No Limit Hold'em - Diamond High Roller (Bracelet Event #11)World Series of Poker Europe - WSOPE 2022, Rozvadov",4th,"$ 221,706"
05-Oct-2022,"$ 300,000 No Limit Hold'em - Super High Roller Bowl VIIPokerGO Tour - PGT Super High Roller Bowl VII (SHRB), Las Vegas",2nd,"$ 2,016,000"
14-Aug-2022,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",8th,"$ 253,910"
06-May-2022,"€ 25,000 No Limit Hold'em (Event 43)European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 70,936"
20-Mar-2022,"$ 10,000 No Limit Hold'em - US Poker Open #5PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",5th,"$ 52,800"
08-Mar-2022,"€ 24,500 + 500 No Limit Hold'em (Event #11)European Poker Tour - EPT Prague, Prague",6th,"$ 64,065"
19-Jan-2022,"$ 100,000 + 1,000 No Limit Hold'em - Stairway to Millions #8PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",1st,"$ 1,026,000"
17-Jan-2022,"$ 25,000 + 500 No Limit Hold'em - Stairway to Millions #6PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",2nd,"$ 175,000"
12-Dec-2021,"$ 10,000 No Limit Hold'em - PokerGO Tour High Roller (Event #22)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",1st,"$ 151,200"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",45th,"$ 163,900"
09-Oct-2021,"$ 200,000 No Limit Hold'em - Aria High Roller 26PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",1st,"$ 1,468,800"
18-Sep-2021,"$ 100,000 No Limit Hold'em - Poker Masters #12PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",2nd,"$ 754,000"
10-Sep-2021,"$ 10,000 No Limit Hold'em - Poker Masters #4PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",6th,"$ 43,800"
06-Aug-2021,"$ 5,250 No Limit Hold'em - SHRPO Championship (Event #34)Seminole Hard Rock Poker Open (SHRPO), Hollywood",46th,"$ 18,145"
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",95th,"$ 10,415"
11-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #9PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",12th,"$ 19,800"
08-Aug-2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",1st,"$ 494,550"
31-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #27)Super High Roller Bowl Online, Online",12th,"$ 22,000"
28-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #17)Super High Roller Bowl Online, Online",9th,"$ 55,455"
24-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #5)Super High Roller Bowl Online, Online",6th,"$ 79,875"
24-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #4)Super High Roller Bowl Online, Online",11th,"$ 26,500"
12-May-2020,"$ 5,000 + 200 No Limit Hold'em - High RollerWorld Poker Tour - WPT Online Championship by partypoker, Online",5th,"$ 55,550"
20-Apr-2020,"$ 10,000 + 300 No Limit Hold'em -Poker Masters #18 (ONLINE)Poker Masters Online, Online",12th,"$ 28,493"
15-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #07 (ONLINE)Poker Masters Online, Online",9th,"$ 27,950"
15-Dec-2019,"$ 25,000 No Limit Hold'em - Bellagio High Roller (Event #19)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",5th,"$ 106,000"
04-May-2019,"€ 10,200 No Limit Hold'em (Event #39)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 144,144"
17-Feb-2019,"$ 25,000 No Limit Hold'em - USPO #05 25K NLH (Event #5)2019 US Poker Open, Las Vegas",4th,"$ 147,500"
13-Jan-2019,"$ 25,000 No Limit Hold'em (Event #30)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",5th,"$ 101,560"
10-Dec-2018,"$ 25,000 No Limit Hold'em - Bellagio 25K - 02 (Event #21)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",1st,"$ 289,944"
09-Nov-2018,"$ 25,000 + 500 No Limit Hold'em - MILLIONS Worldpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",23rd,"$ 90,000"
07-Jul-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-15, Las Vegas",3rd,"$ 104,000"
24-Jun-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-09, Las Vegas",1st,"$ 245,000"
01-Jun-2018,"$ 100,000 No Limit Hold'em - High Roller (Event #5)49th World Series of Poker - WSOP 2018, Las Vegas",1st,"$ 2,910,227"
04-May-2018,"€ 10,200 No Limit Hold'em #38European Poker Tour - EPT Monte Carlo, Monte Carlo",4th,"$ 64,100"
28-Apr-2018,"€ 5,300 No Limit Hold'em - EPT Main Event #12European Poker Tour - EPT Monte Carlo, Monte Carlo",57th,"$ 14,402"
27-Feb-2018,"$ 25,000 No Limit Hold'em - High Roller #63World Poker Tour - WPT L.A. Poker Classic, Los Angeles",2nd,"$ 283,250"
11-Jan-2018,"$ 24,700 + 300 #18 No Limit Hold'emPokerStars Caribbean Adventure - PCA 2018, Paradise Island",4th,"$ 148,780"
01-Dec-2017,"$ 25,000 No Limit Hold'em - Bellagio High Roller #14 -  ( Event #10 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 108,000"
01-Nov-2017,"€ 25,000 No Limit Hold'em - High Roller (Event #9)World Series of Poker Europe - WSOPE 2017, Rozvadov",15th,"$ 44,306"
21-Aug-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event  #18PokerStars Championship Barcelona, Barcelona",19th,"$ 62,537"
26-Jun-2017,"$ 3,500 No Limit Hold'em #67Deepstack Extravaganza III, Las Vegas",77th,"$ 8,256"
25-May-2017,"$ 48,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 18, Las Vegas",7th,"$ 134,400"
02-May-2017,"€ 25,500 No Limit Hold'em - Eight Max Shot Clock (Event 47)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",9th,"$ 64,690"
29-Apr-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",82nd,"$ 10,389"
04-Apr-2017,"HK$ 200,000 + 6,000 No Limit Hold'em #28PokerStars Championship Macau, Macau",2nd,"HK$ 2,639,000"
22-Jan-2017,"A$ 98,000 + 2,000 No Limit Hold'em - $100,000 Challenge (Event #12)2017 Aussie Millions Poker Championship, Melbourne",1st,"$ 339,565"
20-Jan-2017,"A$ 24,000 + 1,000 No Limit Hold'em - $25,000 Challenge (Event #9)2017 Aussie Millions Poker Championship, Melbourne",6th,"A$ 882,000"
14-Dec-2016,"€ 2,000 + 150 No Limit Hold'em - 8-Handed Turbo (Event #53)European Poker Tour - EPT Prague, Prague",1st,"$ 666,113"
28-Aug-2016,"€ 10,000 + 200 No Limit Hold'em - Turbo Bounty 8 Handed (Event #60)European Poker Tour - EPT Barcelona, Barcelona",7th,"A$ 143,640"
15-Aug-2016,"$ 25,500 No Limit Hold'em - High Roller (Event #25)2016 Seminole Hard Rock Poker Open, Hollywood",4th,"$ 108,818"
08-Jul-2016,"$ 111,111 No Limit Hold'em High Roller for One Drop (single re-entry) (Event #67)47th World Series of Poker - WSOP 2016, Las Vegas",7th,"$ 68,661"
05-May-2016,"€ 2,000 + 200 No Limit Hold'em - 8 Handed #70European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",13th,"$ 15,652"
14-Apr-2016,"$ 2,200 No Limit Hold'em - Eight Max #17World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",1st,"$ 190,313"
14-Feb-2016,"€ 5,000 + 300 #28 No Limit Hold'em EPT Main EventEuropean Poker Tour - EPT Dublin, Dublin",40th,"$ 628,679"
13-Jan-2016,"$ 2,200 #86 No Limit Hold'em - 6-HandedPokerStars Caribbean Adventure - PCA 2016, Paradise Island",5th,"$ 8,170"
18-Dec-2015,"$ 100,000 WPT Alpha8 - No Limit Hold'em High Roller (Event #18)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,"$ 93,208"
23-Oct-2015,"€ 25,000 + 750 #16 No Limit Hold'em   - High Roller - 8 HandedEuropean Poker Tour - EPT Malta, St. Julian’s",3rd,"$ 12,872"
28-Aug-2015,"€ 10,000 + 300 No Limit Hold'em - High Roller 8Max #58European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 22,900"
10-Jul-2015,"$ 10,000 + 400 No Limit Hold'em - Bellagio Cup XIBellagio Cup XI, Las Vegas",4th,"$ 1,015,335"
28-May-2015,"$ 3,000 No Limit Hold'em Shootout (Event #4)46th World Series of Poker - WSOP 2015, Las Vegas",1st,"$ 261,411"
26-Mar-2015,"€ 10,000 + 300 #53 No Limit Hold'em - High RollerEuropean Poker Tour - EPT Malta, St. Julian’s",6th,"$ 669,512"
26-Feb-2015,"$ 5,250 No Limit Hold'em2015 L.A Poker Classic, Los Angeles",8th,"$ 321,994"
12-Jan-2015,"$ 24,000 + 1,000 #24 No Limit Hold'em - High Roller 8 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",6th,"$ 201,812"
08-Jan-2015,"$ 4,850 + 450 #9 No Limit Hold'em - Turbo 8 HandedPokerStars Caribbean Adventure - PCA 2015, Paradise Island",1st,"$ 152,167"
24-Nov-2014,"C$ 10,000 + 400 No Limit Hold'em High RollerWorld Poker Tour - WPT Montreal, Kahnawake",7th,"$ 17,200"
03-Jun-2014,"$ 1,500 Pot Limit Hold'em (Event #12)45th World Series of Poker - WSOP 2014, Las Vegas",30th,"$ 301,500"
07-Jan-2014,"$ 5,000 + 300 No Limit Hold'em TurboPokerStars Caribbean Adventure - PCA 2014, Paradise Island",8th,"$ 113,853"
24-Nov-2013,"$ 2,500 + 200 No Limit Hold'em - Borgata Fall Poker Champinoship ( Re-Entry)Borgata Fall Poker Open 2013, Atlantic City",46th,"C$ 32,010"
09-Jun-2013,"$ 1,000 No Limit Hold'em (Event #18)44th World Series of Poker - WSOP 2013, Las Vegas",195th,"$ 28,487"
15-Mar-2013,"$ 2,325 + 175 No Limit Hold'em - Championship EventFoxwoods Poker Classic, Mashantucket",6th,"$ 4,120"
04-Jul-2012,"$ 1,000 No Limit Hold'em (Event #59)43rd World Series of Poker - WSOP 2012, Las Vegas",172nd,"$ 17,380"
13-Apr-2012,"$ 1,000 + 90 No Limit Hold'em - Re-Entry3rd Annual Borgata Spring Poker Open, Atlantic City",12th,"$ 5,876"
21-Jun-2011,"$ 2,500 No Limit Hold'em42nd World Series of Poker - WSOP 2011, Las Vegas",25th,"$ 1,901"
07-Jun-2010,"$ 1,500 No Limit Hold'em - Six Handed41st World Series of Poker - WSOP 2010, Las Vegas",134th,"$ 20,914"
15-Jun-2009,"$ 2,000 No Limit Hold'em40th World Series of Poker - WSOP 2009, Las Vegas",167th,"$ 3,119"
04-Jun-2009,"$ 1,000 + 80 No Limit Hold'em2009 Bellagio Summer Dailies, Las Vegas",9th,"$ 2,910"
,,,"$ 21,933"
06-Aug-2023,"$ 60,000 + 2,400 No Limit Hold'em - Turbo (Event #12)Triton Poker Super High Roller Series London, London",3rd,"$ 3,075"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",18th,"$ 3,629"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",27th,"$ 1,240"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",7th,
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",22nd,"$ 468,900"
23-Feb-2023,"€ 25,000 No Limit Hold'em (Event #25)European Poker Tour - EPT Paris, Paris",5th,"$ 48,600"
19-Feb-2023,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller (Event #13)European Poker Tour - EPT Paris, Paris",3rd,"$ 55,398"
02-Feb-2023,"$ 100,000 No Limit Hold'em - 7-Handed (Event #66)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",5th,"$ 566,800"
14-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #4PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",10th,"$ 59,500"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",3rd,"$ 73,497"
19-Oct-2022,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic (Event #27)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",47th,"$ 473,766"
18-Aug-2022,"€ 25,000 No Limit Hold'em (Event #41)European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 405,800"
19-Jun-2022,"$ 100,000 No Limit Hold'em - High Roller 8-Handed (Event #42)53rd World Series of Poker - WSOP 2022, Las Vegas",9th,"$ 23,400"
14-Apr-2022,"$ 50,000 No Limit Hold'em - SHRS Europe #8Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",5th,"$ 25,000"
09-Mar-2022,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller (Event #17)European Poker Tour - EPT Prague, Prague",3rd,"$ 62,273"
06-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",1st,"$ 181,068"
18-Jan-2022,"$ 50,000 + 1,000 No Limit Hold'em - Stairway to Millions #7PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",1st,"$ 152,000"
15-Jan-2022,"$ 8,000 + 200 No Limit Hold'em - Stairway to Millions #4PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",5th,"$ 359,915"
06-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 31PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",4th,"$ 369,000"
12-Oct-2021,"$ 5,000 No Limit Hold'em - 6 Handed (Event #25)52nd World Series of Poker - WSOP 2021, Las Vegas",13th,"$ 567,000"
08-Oct-2021,"$ 100,000 No Limit Hold'em - Aria High Roller 25PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 35,840"
11-Sep-2021,"$ 10,000 No Limit Hold'em - Poker Masters #5PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",2nd,"$ 57,000"
15-Aug-2021,"$ 25,000 No Limit Hold'em - Venetian High Roller 07PokerGO Tour - PGT Venetian High Rollers, Las Vegas",3rd,"$ 27,150"
25-Jul-2021,"$ 500 No Limit Hold'em - The Big 500 Enore ONLINE (WSOP Event #26)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",119th,"$ 625,000"
15-Jun-2021,"$ 25,000 No Limit Hold'em - Aria High Roller 19PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",4th,"$ 132,000"
31-Mar-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 11PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",1st,"$ 103,520"
31-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #25)Super High Roller Bowl Online, Online",8th,$ 805
29-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #20)Super High Roller Bowl Online, Online",4th,"$ 67,500"
26-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #10)Super High Roller Bowl Online, Online",6th,"$ 126,980"
24-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #6)Super High Roller Bowl Online, Online",4th,"$ 33,475"
13-May-2020,"$ 10,000 + 300 No Limit Hold'em - High RollerWorld Poker Tour - WPT Online Championship by partypoker, Online",2nd,"$ 94,500"
24-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #26 (ONLINE)Poker Masters Online, Online",10th,"$ 32,725"
18-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #14 (ONLINE)Poker Masters Online, Online",14th,"$ 72,625"
20-Dec-2019,"$ 25,000 No Limit Hold'em - Bellagio High Roller (Event #27)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",5th,"$ 201,250"
31-May-2019,"$ 50,000 No Limit Hold'em - 50th Annual High Roller (Event #5)50th World Series of Poker - WSOP 2019, Las Vegas",5th,"$ 24,932"
19-Feb-2019,"$ 25,000 No Limit Hold'em - USPO #07 25K NLH (Event #7)2019 US Poker Open, Las Vegas",6th,"$ 22,800"
14-Jan-2019,"$ 25,000 No Limit Hold'em - PCA High Roller (Event #33)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",12th,"$ 74,000"
11-Dec-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",83rd,"$ 335,181"
08-Dec-2018,"$ 25,000 No Limit Hold'em - Bellagio 25K - 01 (Event #16)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",6th,"$ 90,000"
13-Jul-2018,"$ 50,000 No Limit Hold'em - High Roller (Event #77)49th World Series of Poker - WSOP 2018, Las Vegas",3rd,"$ 65,440"
25-Jun-2018,"$ 3,500 No Limit Hold'em - MSPT Big Blind Ante Event #89DeepStack Championship Poker Series, Las Vegas",13th,"$ 21,789"
12-Jun-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-07, Las Vegas",1st,"$ 63,000"
27-May-2018,"$ 300,000 No Limit Hold'em2018 Super High Roller Bowl, Las Vegas",6th,"$ 720,103"
