Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",11th,"$ 360,000"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",28th,"$ 12,240"
20-Jun-2023,"$ 3,200 No Limit Hold'em - High Roller (Online Bracelet Event 8) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",24th,"$ 9,831"
11-Jun-2023,"$ 1,500 Mixed Games: Eight-Game Mix - 6-Handed (Bracelet Event 27)54th World Series of Poker - WSOP 2023, Las Vegas",11th,"$ 12,886"
06-Jun-2023,"$ 25,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 16)54th World Series of Poker - WSOP 2023, Las Vegas",39th,"$ 43,750"
01-Jun-2023,"$ 1,500 Limit Hold'em (Bracelet Event 7)54th World Series of Poker - WSOP 2023, Las Vegas",56th,"$ 2,625"
25-Feb-2023,"$ 10,000 No Limit Hold'em - LAPC Main Event (Event 66)2023 Los Angeles Poker Classic (LAPC), Los Angeles",21st,"$ 16,000"
09-Feb-2023,"$ 10,000 + 300 Dealer's Choice (Event #6)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",4th,"$ 56,000"
13-Jan-2023,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",2nd,"$ 153,000"
08-Dec-2022,"$ 970 + 130 No Limit Hold'em - WPT Prime ChampionshipWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",470th,"$ 2,020"
18-Oct-2022,"$ 1,000 No Limit Hold'em - High Roller ONLINE (Ring Event 3)World Series of Poker Circuit - WSOPC ONLINE Series, Online",1st,"$ 40,709"
10-Oct-2022,"$ 10,000 No Limit Hold'em - Bellagio High Roller #3 (Event #6)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",1st,"$ 68,256"
25-Sep-2022,"$ 400 No Limit Hold'em - Ultra Deepstack ONLINE (Online Bracelet Event #12)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",78th,"$ 1,016"
23-Sep-2022,"$ 10,000 Pot Limit Omaha - Poker Masters #3PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",12th,"$ 16,200"
