Date,Event Name,Placement,Earning
04-Aug-2023,"$ 25,000 + 1,000 Pot Limit Omaha (Event #10)Triton Poker Super High Roller Series London, London",9th,"$ 54,000"
25-Oct-2022,"£ 960 + 90 No Limit Hold'em - Hyper Turbo (Event #37)European Poker Tour - EPT London, London",2nd,"$ 14,707"
01-Oct-2022,"€ 900 + 100 No Limit Hold'em - WPO High Roller (Event #25)Winamax Poker Open - WPO Bratislava, Bratislava",2nd,"$ 24,412"
24-Sep-2022,"$ 1,050 No Limit Hold'em - Beat the Pros ONLINE (Online Bracelet Event #31)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",154th,"$ 1,437"
18-Sep-2022,"$ 1,500 No Limit Hold'em - FIFTY STACK Bounty ONLINE (Online Bracelet Event #27)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",14th,"$ 7,757"
11-Sep-2022,"$ 400 Pot Limit Omaha - PLOSSUS ONLINE (Online Bracelet Event #23)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",62nd,"$ 1,807"
04-Sep-2022,"$ 100 No Limit Hold'em - FLIP & GO ONLINE (Online Bracelet Event #18)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",304th,$ 947
12-Jul-2022,"$ 4,600 + 400 No Limit Hold'em - WPT Venetian Resort Las VegasVenetian DeepStack Championship Series, Las Vegas",118th,"$ 9,450"
09-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #14PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",3rd,"$ 81,200"
07-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #12PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",3rd,"$ 79,800"
02-May-2022,"€ 5,300 No Limit Hold'em - EPT Monte Carlo Main Event (Event 21)European Poker Tour - EPT Monte Carlo, Monte Carlo",41st,"$ 17,294"
15-Mar-2022,"€ 1,000 + 100 No Limit Hold'em - Hyper Turbo (Event #53)European Poker Tour - EPT Prague, Prague",13th,"$ 2,293"
12-Mar-2022,"€ 5,000 + 200 Pot Limit Omaha (Event #33)European Poker Tour - EPT Prague, Prague",9th,"$ 13,043"
03-Dec-2021,"€ 10,000 + 350 No Limit Hold'em - WSOPE Main Event (Bracelet Event #14)World Series of Poker Europe - WSOPE 2021, Rozvadov",44th,"$ 30,651"
29-Nov-2021,"€ 24,600 + 400 No Limit Hold'em - Platinum High Roller (Bracelet Event #10)World Series of Poker Europe - WSOPE 2021, Rozvadov",7th,"$ 78,830"
