Date,Event Name,Placement,Earning
30-Jul-2023,"$ 50,000 + 3,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series London, London",4th,"$ 497,000"
10-May-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",10th,"$ 77,000"
30-Apr-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event 19)European Poker Tour - EPT Monte Carlo, Monte Carlo",40th,"$ 19,006"
28-Apr-2023,"€ 25,000 No Limit Hold'em (Event 10)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 547,456"
20-Feb-2023,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #16)European Poker Tour - EPT Paris, Paris",126th,"$ 13,090"
26-Jan-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #25)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",2nd,"$ 116,900"
17-Jan-2023,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",2nd,"$ 345,460"
14-Dec-2022,"€ 1,800 + 200 No Limit Hold'em - EPT Mystery Bounty (Event #33)European Poker Tour - EPT Prague, Prague",37th,"$ 5,783"
11-Nov-2022,"€ 10,350 No Limit Hold'em - WSOPE Main Event (Bracelet Event #12)World Series of Poker Europe - WSOPE 2022, Rozvadov",75th,"$ 21,220"
09-Nov-2022,"€ 100,000 No Limit Hold'em - Super High RollerWorld Series of Poker Europe - WSOPE Side Events, Rozvadov",2nd,"$ 200,416"
20-May-2022,"€ 100,000 No Limit Hold'em - Triton Main Event (Event #9)Triton Poker Series Madrid, Madrid",2nd,"$ 2,130,921"
05-May-2022,"€ 25,000 No Limit Hold'em - EPT Monte Carlo High Roller (Event 36)European Poker Tour - EPT Monte Carlo, Monte Carlo",17th,"$ 68,054"
13-Mar-2022,"€ 24,500 + 500 No Limit Hold'em (Event #37)European Poker Tour - EPT Prague, Prague",4th,"$ 117,546"
11-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 36PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",5th,"$ 33,600"
04-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 29PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 98,400"
25-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #7)Super High Roller Bowl Online, Online",11th,"$ 27,000"
26-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #30 (ONLINE)Poker Masters Online, Online",18th,"$ 26,789"
13-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #04 (ONLINE)Poker Masters Online, Online",4th,"$ 89,250"
25-Jan-2020,"A$ 10,000 No Limit Hold'em (Event #1)Australian Poker Open, Gold Coast",4th,"A$ 59,000"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",27th,"$ 40,279"
20-Nov-2019,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",2nd,"$ 30,995"
16-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Rollerpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",15th,"$ 550,000"
18-Oct-2019,"€ 25,500 No Limit Short Deck Hold'em - High Roller (Event #6)World Series of Poker Europe - WSOPE 2019, Rozvadov",3rd,"$ 25,000"
12-Aug-2019,"€ 100,000 No Limit Hold'em - Triton 100K Super High Rollerpartypoker LIVE - partypoker MILLIONS Europe, Rozvadov",1st,"$ 361,580"
03-Jul-2019,"$ 3,200 No Limit Hold'em - WSOP.com Online High Roller (Event #74)50th World Series of Poker - WSOP 2019, Las Vegas",22nd,"$ 1,015,180"
21-May-2019,"C$ 10,000 + 300 No Limit Hold'em - MILLIONS North Americapartypoker LIVE - partypoker MILLIONS North America, Kahnawake",26th,"$ 10,997"
29-Apr-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #15)European Poker Tour - EPT Monte Carlo, Monte Carlo",58th,"C$ 30,000"
08-Apr-2019,"£ 5,000 + 300 No Limit Hold'em - Super High RollerWSOP International Circuit - WSOPC UK, Nottingham",1st,"$ 22,360"
08-Mar-2019,"€ 500 + 50 No Limit Hold'em - WPT500 (Event #1)World Poker Tour - WPT Barcelona, Barcelona",72nd,"$ 14,370"
13-Dec-2018,"€ 25,000 No Limit Hold'em -  Single Day Event #21European Poker Tour - EPT Prague, Prague",3rd,"$ 117,365"
29-Nov-2018,"£ 1,100 No Limit Hold'em - 888 London Main Event888poker LIVE - London, London",67th,"$ 2,253"
09-Nov-2018,"$ 25,000 + 500 No Limit Hold'em - MILLIONS Worldpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",25th,"$ 188,320"
