Date,Event Name,Placement,Earning
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",14th,"$ 455,000"
18-May-2023,"$ 200,000 + 10,000 No Limit Hold'em - Luxon Invitational Powered by Triton Poker Series (Event #9) Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 2,100,000"
11-May-2023,"$ 20,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",16th,"$ 40,000"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",23rd,"$ 63,627"
03-Mar-2023,"$ 10,000 + 10,000 No Limit Hold'em - 8-Handed Mystery Bounty (Event #3)Triton Poker Super High Roller Series Vietnam, Hoi An",19th,"$ 21,500"
05-Sep-2022,"$ 25,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 825,000"
12-Aug-2022,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Barcelona, Barcelona",11th,"$ 49,393"
22-May-2022,"€ 25,000 Pot Limit Omaha (Event #11)Triton Poker Series Madrid, Madrid",4th,"$ 102,977"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",9th,"$ 81,192"
18-Jun-2021,"$ 25,000 No Limit Hold'em - WPT Heads-Up Championship WPT Heads Up Championship presented By Poker King, Online",2nd,"$ 200,000"
16-Aug-2020,"$ 1,500 Pot Limit Omaha (Event #62)World Series of Poker - WSOP Online 2020 at GGPoker, Online",19th,"$ 6,825"
05-Aug-2020,"$ 400 Pot Limit Omaha (Event #51)World Series of Poker - WSOP Online 2020 at GGPoker, Online",144th,"$ 1,096"
26-Jul-2020,"$ 400 Pot Limit Omaha - PLOSSUS (Event #42)World Series of Poker - WSOP Online 2020 at GGPoker, Online",359th,"$ 1,166"
26-Jul-2020,"$ 400 No Limit Hold'em - COLOSSUS (Event #10)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1066th,"$ 1,011"
19-Jul-2020,"$ 1,111 Every 1 for Covid Relief (Event #33)World Series of Poker - WSOP Online 2020 at GGPoker, Online",119th,"$ 3,117"
22-Jun-2020,"$ 1,000 + 50 Pot Limit Omaha - Mini  (Event #3 ONLINE)Poker Masters Online Pot Limit Omaha Series, Online",12th,"$ 2,356"
12-May-2020,"$ 5,000 + 200 No Limit Hold'em - High RollerWorld Poker Tour - WPT Online Championship by partypoker, Online",14th,"$ 14,948"
30-Aug-2019,"€ 10,300 No Limit Hold'em - EPT High Roller (Event #43)European Poker Tour - EPT Barcelona, Barcelona",60th,"$ 21,362"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",17th,"$ 52,472"
06-Apr-2019,"€ 10,000 + 200 No Limit Hold'em - The PAPC €10200 Championship Event (#45)The Patrik Antonius Poker Challenge - PAPC Tallinn, Tallinn",1st,"$ 87,635"
12-Dec-2018,"€ 5,300 No Limit Hold'em - EPT Prague Main Event  #17European Poker Tour - EPT Prague, Prague",52nd,"$ 19,913"
11-Aug-2018,"₽ 600,000 + 18,000 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLIONS Russia, Sochi",2nd,"$ 178,823"
02-Jul-2018,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #65)49th World Series of Poker - WSOP 2018, Las Vegas",814th,"$ 18,340"
09-Apr-2018,"€ 50,000 + 1,000 No Limit Hold'em - €50k Super High Roller #5partypoker LIVE - partypoker MILLIONS Barcelona Grand Final, Barcelona",3rd,"$ 491,117"
17-Mar-2018,"HK$ 400,000 No Limit hold'em - Super High Roller (Event #6)Asia Pacific Poker Tour - APPT Macau, Macau",6th,"HK$ 1,603,000"
29-Apr-2017,"€ 5,300 No Limit Hold'em - PokerStars Championship Main Event (Event 24)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",79th,"$ 204,378"
07-Feb-2014,"A$ 100,000 No Limit Hold'em - $100,000 Challenge2014 Aussie Millions Poker Championship, Melbourne",5th,"$ 10,389"
27-Jan-2013,"A$ 10,600 No Limit Hold'em - Main Event2013 Aussie Millions Poker Championship, Melbourne",3rd,"A$ 700,000"
04-Apr-2012,"No Limit Hold'em PartyPoker.com Premier League Poker V, Vienna",4th,"$ 626,937"
14-Oct-2011,"€ 10,000 + 400 Main Event - No Limit Hold'emWorld Series Of Poker Europe - WSOPE 2011, Cannes",9th,"A$ 600,000"
23-Jan-2011,"A$ 10,000 + 600 No Limit Hold'em - Main Event2011 Aussie Millions Poker Championship, Melbourne",8th,"$ 633,419"
20-Jan-2011,"A$ 25,000 Full Tilt Poker Invitational Shootout - Heat 2 2011 Aussie Millions Poker Championship, Melbourne",2nd,"$ 125,000"
13-Oct-2010,"$ 10,000 Heat 7 Full Tilt Poker Late Night Poker 2010, Cardiff",6th,"$ 120,228"
16-Aug-2010,"$ 20,000 Week 10 - Mixed Martial Arts Poker After Dark (PAD) Season VI, Las Vegas",6th,"A$ 130,000"
05-Jul-2010,"$ 10,000 World Championship - No Limit Hold'em41st World Series of Poker - WSOP 2010, Las Vegas",601st,"$ 128,573"
Dec-2009,"Heat 8 Full Tilt Poker Million VIII, Sky Sports",4th,"$ 24,079"
28-Aug-2009,"$ 10,000 Finals Late Night Poker 2009, Cardiff",7th,"$ 15,000"
18-Jan-2009,"A$ 10,000 + 500 No Limit Hold'em - Aussie Millions2009 Aussie Millions Poker Championship, Melbourne",41st,"A$ 20,000"
30-May-2008,"$ 10,000 World Championship Pot Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",7th,"$ 14,207"
25-Feb-2008,"$ 20,000 Week 6 - International Poker After Dark (PAD) Season III, Las Vegas",2nd,"$ 124,080"
10-Sep-2007,"£ 10,000 + 350 World Championship No Limit Hold'em2007 World Series Of Poker - Europe, London",29th,"$ 54,672"
Jun-2007,"$ 20,000 Week 2 - International Poker After Dark (PAD) Season II, Las Vegas",1st,"$ 120,000"
12-Mar-2007,"$ 20,000 Week 8 - Killer Table Poker After Dark (PAD) Season I, Las Vegas",2nd,"A$ 90,000"
14-Jan-2007,"A$ 10,000 + 500 Main Event2007 Aussie Millions Poker Championship, Melbourne",13th,"$ 71,575"
22-Jul-2006,"$ 5,000 Pot Limit Hold'em37th World Series of Poker - WSOP 2006, Las Vegas",36th,"$ 3,553"
09-Jul-2006,"$ 10,000 Pot Limit Omaha37th World Series of Poker - WSOP 2006, Las Vegas",15th,"$ 20,492"
04-Jun-2006,"$ 10,000 + 200 WPT Championship Event - No Limit Hold'emMandalay Bay Poker Championship, Las Vegas",45th,"$ 13,440"
12-Dec-2005,"$ 15,000 + 300 Main Event - No Limit Hold'emFourth Annual Five Diamond World Poker Classic, Las Vegas",2nd,"$ 1,046,470"
04-Oct-2005,"€ 4,000 + 190 No Limit Hold'em - EPT Main EventEuropean Poker Tour - EPT Baden, Baden",1st,"$ 343,365"
18-Aug-2005,"SKr 30,000 No Limit Hold'emLadbrokes Scandinavian Poker Championships, Stockholm",1st,"$ 66,261"
14-Jun-2005,"$ 5,000 No Limit Hold'em36th World Series of Poker - WSOP 2005, Las Vegas",27th,"$ 10,950"
07-Mar-2005,"$ 9,750 + 250 Championship WPT Event - No Limit Hold'emWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",15th,"$ 40,000"
22-Nov-2004,"$ 150 Pot Limit Hold'em2004 St Maarten Open, St. Maarten",10th,$ 720
,,,
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",588th,"$ 32,500"
12-May-2023,"$ 15,000 + 15,000 No Limit Hold'em - Mystery Bounty 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",16th,"$ 32,500"
10-May-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",21st,"$ 45,800"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 497,000"
01-Mar-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Vietnam, Hoi An",13th,"$ 70,500"
18-Aug-2022,"€ 25,000 No Limit Hold'em (Event #41)European Poker Tour - EPT Barcelona, Barcelona",9th,"$ 77,867"
27-May-2022,"€ 15,000 + 300 No Limit Hold'em - PGT Italy Event #4PokerGO Tour - 2022 PGT Italy, Venice",4th,"$ 37,888"
20-May-2022,"€ 100,000 No Limit Hold'em - Triton Main Event (Event #9)Triton Poker Series Madrid, Madrid",6th,"$ 589,665"
07-Apr-2022,"€ 5,000 + 200 No Limit Hold'em - PAPC High Roller 6 Max (Event #12)The Patrik Antonius Poker Challenge - PAPC Tallinn, Tallinn",3rd,"$ 13,600"
30-Aug-2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",267th,"$ 2,108"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",384th,"$ 3,037"
02-Aug-2020,"$ 1,500 MILLIONAIRE MAKER (Event #48)World Series of Poker - WSOP Online 2020 at GGPoker, Online",485th,"$ 2,859"
26-Jul-2020,"$ 2,500 Pot Limit Omaha (Event #40)World Series of Poker - WSOP Online 2020 at GGPoker, Online",48th,"$ 5,877"
22-Jul-2020,"$ 1,500 FIFTY STACK No Limit Hold'em (Event #36)World Series of Poker - WSOP Online 2020 at GGPoker, Online",14th,"$ 12,052"
27-Jun-2020,"$ 1,000 + 50 Pot Limit Omaha - Mini (Event #13 ONLINE)Poker Masters Online Pot Limit Omaha Series, Online",12th,"$ 2,164"
20-May-2020,"$ 2,000 + 100 No Limit Hold'em - 6-Max Bounty HunterWorld Poker Tour - WPT Online Championship by partypoker, Online",6th,"$ 9,848"
11-May-2020,"$ 2,000 + 100 Pot Limit OmahaWorld Poker Tour - WPT Online Championship by partypoker, Online",7th,"$ 9,240"
26-Aug-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #22)European Poker Tour - EPT Barcelona, Barcelona",221st,"$ 11,154"
29-Apr-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #15)European Poker Tour - EPT Monte Carlo, Monte Carlo",35th,"$ 19,449"
16-Dec-2018,"€ 10,300 No Limit Hold'em - EPT Prague High Roller #34European Poker Tour - EPT Prague, Prague",37th,"$ 19,600"
27-Aug-2018,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #13)European Poker Tour - EPT Barcelona, Barcelona",196th,"$ 11,343"
07-Aug-2018,"₽ 3,000,000 No Limit Hold'em - Triton Poker High Rollerpartypoker LIVE - partypoker MILLIONS Russia, Sochi",4th,"$ 236,058"
28-Apr-2018,"€ 5,300 No Limit Hold'em - EPT Main Event #12European Poker Tour - EPT Monte Carlo, Monte Carlo",6th,"$ 168,280"
20-Mar-2018,"HK$ 2,000,000 + 100,000 No Limit Hold'em - Super High Roller Bowl Super High Roller Bowl China, Macau",2nd,"HK$ 24,735,000"
10-Feb-2018,"€ 25,000 + 500 No Limit Hold'em - Super High Rollerpartypoker LIVE - partypoker MILLIONS Germany, Rozvadov",1st,"$ 3,153,551"
24-Aug-2015,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event #29European Poker Tour - EPT Barcelona, Barcelona",71st,"$ 520,610"
04-Oct-2013,"£ 48,500 + 1,500 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT London, London",8th,"$ 20,853"
23-Apr-2012,"€ 98,500 + 1,500 No Limit Hold'em - Super High Roller 8 MaxEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"$ 177,470"
27-Jan-2012,"A$ 250,000 No Limit Hold'em - $250,000 Challenge2012 Aussie Millions Poker Championship, Melbourne",2nd,"$ 584,873"
03-Aug-2011,"HK$ 2,500 Heads Up No Limit Hold'emAsian Poker King Tournament, Macau",4th,"A$ 1,200,000"
21-Jan-2011,"Full Tilt Poker Invitational Shootout - Final 2011 Aussie Millions Poker Championship, Melbourne",5th,"$ 1,235,369"
10-Dec-2010,"Final FullTiltPoker.com Poker Million IX, Sky Sports",8th,"HK$ 10,930"
12-Oct-2010,"Heat 4 FullTiltPoker.com Poker Million IX, Sky Sports",1st,"$ 1,402"
20-Jul-2010,"$ 20,000 Episode 5 The Poker Lounge, Cardiff",1st,"A$ 40,000"
23-Jun-2010,"$ 20,000 Episode 1 The Poker Lounge, Cardiff",6th,"$ 39,561"
25-Sep-2009,"Caesars Cup - Europe vs USAWorld Series Of Poker Europe - WSOPE 2009, London",1st,"$ 90,000"
24-Aug-2009,"Heat B Late Night Poker 2009, Cardiff",1st,"$ 120,000"
02-Jun-2008,"$ 5,000 Limit/No Limit Hold'em39th World Series of Poker - WSOP 2008, Las Vegas",27th,"$ 12,483"
23-May-2008,"€ 5,000 + 300 No Limit Hold'emWorld Poker Tour - WPT Spanish Championship, Barcelona",22nd,"$ 11,818"
02-Oct-2007,"Heat 2 Poker Million VI, Sky Sports",6th,"$ 311,394"
01-Jul-2007,"$ 10,000 World Championship Pot Limit Omaha38th World Series of Poker - WSOP 2007, Las Vegas",3rd,"$ 46,410"
21-Apr-2007,"$ 25,000 + 500 WPT - No Limit Hold'em ChampionshipFifth Annual Five Star World Poker Classic, Las Vegas",52nd,"$ 10,250"
09-Feb-2007,"$ 10,000 + 150 No Limit Hold'em - Heads Up Championships2007 1st Annual Heads-Up Championships, Compton",9th,"$ 4,095"
