Date,Event Name,Placement,Earning
08-Aug-2023,"$ 30,000 + 1,800 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series London, London",6th,"$ 72,100"
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",17th,"$ 410,000"
30-Apr-2023,"₱ 1,311,000 + 69,000 No Limit Short Deck Hold'em - Super High Roller Ante Only (Event #10)Poker Dream Manila 2023, Manila",2nd,"$ 232,496"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",20th,"$ 198,498"
16-Sep-2022,"$ 50,000 No Limit Short Deck Hold'em - Ante Only Single Bullet (Event #12)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 120,000"
07-Sep-2022,"$ 50,000 No Limit Hold'em - 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",10th,"$ 51,400"
05-Sep-2022,"$ 25,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",16th,"$ 178,698"
10-Aug-2022,"€ 25,000 No Limit Hold'em (Event #11)European Poker Tour - EPT Barcelona, Barcelona",3rd,"$ 769,711"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",1st,"$ 2,080,000"
13-Apr-2022,"$ 250,000 No Limit Hold'em - Super High Roller Bowl EuropeSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",2nd,"$ 324,500"
03-Apr-2022,"$ 100,000 No Limit Hold'em - Triton Cyprus #2Triton Poker Cyprus - Special Edition, Kyrenia",7th,"$ 231,000"
27-Aug-2021,"$ 50,000 No Limit Short Deck Hold'em - SHRB Europe Event 05Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",4th,"$ 620,000"
15-Mar-2020,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",1st,"$ 100,000"
10-Mar-2020,"$ 51,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",8th,"$ 58,000"
07-Mar-2020,"$ 25,500 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",8th,"$ 615,759"
19-Oct-2019,"€ 100,000 No Limit Hold'em Short Deck - King's Super High RollerWorld Series of Poker Europe - WSOPE 2019, Rozvadov",3rd,"$ 529,586"
