Date,Event Name,Placement,Earning
14-Jul-2023,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",9th,"$ 86,118"
02-Jul-2023,"$ 10,000 Pot Limit Omaha Hi-Lo 8 or Better Championship - 8-Handed (Bracelet Event 75)54th World Series of Poker - WSOP 2023, Las Vegas",38th,"$ 16,175"
26-Jun-2023,"$ 1,500 No Limit 2-7 Lowball Draw (Bracelet Event 60)54th World Series of Poker - WSOP 2023, Las Vegas",29th,"$ 4,266"
18-Jun-2023,"$ 50,000 Mixed Games: Poker Players Championship - 7-Handed (Bracelet Event 43)54th World Series of Poker - WSOP 2023, Las Vegas",14th,"$ 97,209"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",11th,"$ 45,301"
06-Jun-2023,"$ 1,500 Omaha Hi-Lo 8 or Better 8-Handed (Bracelet Event 17)54th World Series of Poker - WSOP 2023, Las Vegas",127th,"$ 2,630"
31-May-2023,"$ 1,500 Mixed Games: Dealer's Choice (Bracelet Event 5)54th World Series of Poker - WSOP 2023, Las Vegas",21st,"$ 5,073"
31-Mar-2023,"$ 25,000 No Limit Hold'em - U.S. Poker Open #8PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",5th,"$ 108,000"
25-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #3PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",12th,"$ 18,600"
17-Jul-2022,"$ 500 No Limit Hold'em - Summer Saver (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",103rd,"$ 1,038"
16-Jul-2022,"$ 777 No Limit Hold'em - Lucky 7s Second Chance (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",148th,"$ 1,368"
24-Jun-2022,"$ 2,500 Nine Game Mix - 6-Handed (Event #52)53rd World Series of Poker - WSOP 2022, Las Vegas",24th,"$ 7,096"
17-Jun-2022,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Event #38)53rd World Series of Poker - WSOP 2022, Las Vegas",9th,"$ 31,796"
03-Jun-2022,"$ 1,500 Omaha Hi-Lo 8 or Better (Event #7)53rd World Series of Poker - WSOP 2022, Las Vegas",136th,"$ 2,400"
24-Mar-2022,"$ 25,000 No Limit Hold'em - US Poker Open #9PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",2nd,"$ 315,000"
21-Mar-2022,"$ 15,000 8-Game Mix - US Poker Open #6PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",2nd,"$ 155,100"
26-Jan-2022,"$ 200,000 No Limit Hold'em - Heads-Up High Stakes Duel III PokerGO High Stakes Duel III | Round 3 | Hellmuth vs Dwan, Las Vegas",1st,"$ 400,000"
19-Nov-2021,"$ 50,000 Pot Limit Omaha - High Roller (Event #84)52nd World Series of Poker - WSOP 2021, Las Vegas",2nd,"$ 734,807"
16-Nov-2021,"$ 10,000 Razz Championship (Event #78)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 31,411"
18-Oct-2021,"$ 10,000 Dealer's Choice 6 Handed Championship (Event #36)52nd World Series of Poker - WSOP 2021, Las Vegas",2nd,"$ 153,493"
09-Oct-2021,"$ 10,000 Seven Card Stud - Championship (Event #19)52nd World Series of Poker - WSOP 2021, Las Vegas",4th,"$ 54,730"
03-Oct-2021,"$ 1,500 Dealer's Choice - 6 Handed (Event #7)52nd World Series of Poker - WSOP 2021, Las Vegas",18th,"$ 4,429"
21-Sep-2021,"$ 10,000 No Limit Hold'em - Week 4 - Fight Night Poker After Dark (PAD) Season XIII, Las Vegas",2nd,"$ 20,000"
23-Jul-2021,"$ 500 No Limit Hold'em - Turbo ONLINE (WSOP Event #23)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",52nd,"$ 1,156"
05-Jul-2021,"$ 1,000 No Limit Hold'em - 8-Max ONLINE (WSOP Event #5)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",67th,"$ 2,011"
01-Jul-2021,"$ 500 No Limit Hold'em - The Big 500 Kickoff ONLINE (WSOP Event #1)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",141st,$ 862
05-May-2021,"$ 100,000 No Limit Hold'em - Heads-Up High Stakes Duel II PokerGO High Stakes Duel II | Round 2 | Hellmuth vs Negreanu, Las Vegas",1st,"$ 200,000"
21-Oct-2020,"$ 200,000 No Limit Hold'em - Heads Up High Stakes Duel PokerGO High Stakes Duel | Round 3 | Esfandiari vs Hellmuth, Las Vegas",1st,"$ 400,000"
06-Sep-2020,"$ 100 No Limit Hold'em - WSOP MILLION$ (Event #84)World Series of Poker - WSOP Online 2020 at GGPoker, Online",2545th,$ 340
30-Jul-2020,"$ 500 No Limit Hold'em - Senior's Event (Event #30)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",67th,$ 842
25-Jul-2020,"$ 500 No Limit Hold'em - Summer Saver (Event #25)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",216th,$ 873
20-Jul-2020,"$ 500 Pot Limit Omaha - 6-Handed (Event #20)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",95th,$ 921
18-Jul-2020,"$ 1,000 No Limit Hold'em - 8-Handed Turbo DeepStack (Event #18)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",97th,"$ 1,782"
04-Jul-2020,"$ 500 No Limit Hold'em - Super Turbo (Event #4)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",43rd,"$ 1,963"
21-Oct-2019,"€ 25,500 Mixed Games Championship (Event #10)World Series of Poker Europe - WSOPE 2019, Rozvadov",2nd,"$ 266,488"
17-Oct-2019,"€ 2,500 8 Game Mix - 6-Handed (Event #5)World Series of Poker Europe - WSOPE 2019, Rozvadov",3rd,"$ 34,491"
16-Aug-2019,"$ 160 No Limit Hold'em - Quantum Mega Millions XXI (Event #25)World Poker Tour - WPT Legends of Poker, Los Angeles (Bell Gardens)",5th,"$ 95,693"
14-Jul-2019,"$ 500 No Limit Hold'em - WSOP.com Online Summer Saver (Event #88)50th World Series of Poker - WSOP 2019, Las Vegas",141st,"$ 1,088"
11-Jul-2019,"$ 1,500 No Limit Hold'em - Double Stack (Event #82)50th World Series of Poker - WSOP 2019, Las Vegas",176th,"$ 3,244"
23-Jun-2019,"$ 800 No Limit Hold'em - Deepstack 8-Handed (Event #53)50th World Series of Poker - WSOP 2019, Las Vegas",67th,"$ 3,904"
13-Jun-2019,"$ 1,500 Limit 2-7 Lowball Triple Draw (Event #33)50th World Series of Poker - WSOP 2019, Las Vegas",59th,"$ 2,263"
09-Jun-2019,"$ 1,500 8 Game Mix - 6-Handed (Event #23)50th World Series of Poker - WSOP 2019, Las Vegas",59th,"$ 2,453"
