Date,Event Name,Placement,Earning
10-Aug-2023,"$ 25,000 + 1,500 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series London, London",1st,"$ 280,500"
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",6th,"$ 363,000"
01-Jul-2023,"$ 7,000 + 3,000 No Limit Hold'em - Super Turbo Bounty (Bracelet Event 72)54th World Series of Poker - WSOP 2023, Las Vegas",6th,"$ 133,461"
18-Jun-2023,"$ 50,000 Mixed Games: Poker Players Championship - 7-Handed (Bracelet Event 43)54th World Series of Poker - WSOP 2023, Las Vegas",6th,"$ 228,793"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",16th,"$ 387,000"
14-Sep-2022,"$ 30,000 No Limit Short Deck Hold'em - Ante Only (Event #10)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 13,730"
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",41st,"$ 597,381"
23-Jun-2022,"$ 250,000 No Limit Hold'em - Super High Roller (Event #50)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 5,544"
15-Jun-2022,"$ 1,500 H.O.R.S.E. (Event #32)53rd World Series of Poker - WSOP 2022, Las Vegas",26th,"$ 40,648"
04-Jun-2022,"$ 25,000 No Limit Hold'em - High Roller 8-Handed (Event #8)53rd World Series of Poker - WSOP 2022, Las Vegas",34th,"$ 192,204"
19-May-2022,"€ 50,000 No Limit Short Deck Hold'em Ante Only (Event #8)Triton Poker Series Madrid, Madrid",6th,"$ 107,285"
14-May-2022,"€ 30,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Series Madrid, Madrid",8th,"$ 504,000"
08-Apr-2022,"$ 50,000 No Limit Hold'em Short Deck - SHRS Europe #2Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",2nd,"$ 179,000"
04-Apr-2022,"$ 50,000 No Limit Hold'em - 8-Handed Turbo - Triton Cyprus #6Triton Poker Cyprus - Special Edition, Kyrenia",5th,"$ 546,000"
26-Aug-2021,"$ 50,000 No Limit Hold'em - SHRB Europe Event 04Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",2nd,"$ 400,000"
