Date,Event Name,Placement,Earning
14-Jul-2023,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",68th,"$ 17,596"
01-Jul-2023,"$ 7,000 + 3,000 No Limit Hold'em - Super Turbo Bounty (Bracelet Event 72)54th World Series of Poker - WSOP 2023, Las Vegas",85th,"$ 10,856"
13-Apr-2023,"€ 500 + 50 No Limit Hold'em - Main EventPokercode Festival 2023, Madrid",12th,"$ 3,177"
27-Mar-2023,"€ 1,000 + 100 No Limit Hold'em - High Roller Turbo 8-Max (Event #23)Poker North Masters & Norwegian Championship 2023, Bratislava",1st,"$ 17,806"
17-Nov-2022,"€ 2,000 + 200 No Limit Hold'em - CAPT High RollerCAPT Baden, Baden",4th,"$ 15,751"
11-Sep-2022,"$ 1,050 No Limit Hold'em - GGMasters HR Freezeout ONLINE (Online Bracelet Event #22)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",169th,"$ 3,036"
12-Jul-2022,"$ 4,600 + 400 No Limit Hold'em - WPT Venetian Resort Las VegasVenetian DeepStack Championship Series, Las Vegas",16th,"$ 46,400"
07-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #12PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",5th,"$ 45,600"
01-Jul-2022,"$ 7,000 No Limit Hold'em - Super Turbo Bounty (Event #67)53rd World Series of Poker - WSOP 2022, Las Vegas",7th,"$ 72,683"
24-Jan-2022,"$ 25,500 No Limit Hold'em - High Roller (Event #28)World Poker Tour - 2022 WPT Lucky Hearts Poker Open, Hollywood",13th,"$ 57,430"
19-Nov-2021,"$ 1,500 No Limit Hold'em - The Closer (Event #83)52nd World Series of Poker - WSOP 2021, Las Vegas",55th,"$ 6,265"
15-Nov-2021,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #76)52nd World Series of Poker - WSOP 2021, Las Vegas",9th,"$ 34,424"
14-Nov-2021,"$ 7,777 No Limit Hold'em - Lucky 7's High Roller (Event #8) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",6th,"$ 68,208"
12-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 37PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",3rd,"$ 67,500"
09-Aug-2021,"$ 1,000 No Limit Hold'em - Double Stack ONLINE (Event #12)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",294th,"$ 3,961"
06-Sep-2020,"$ 100 No Limit Hold'em - WSOP MILLION$ (Event #84)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1095th,$ 559
30-Aug-2020,"$ 5,000 No Limit Hold'em Main Event (Event #77)World Series of Poker - WSOP Online 2020 at GGPoker, Online",489th,"$ 14,634"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1540th,"$ 1,356"
09-Aug-2020,"$ 1,500 No Limit Hold'em - GGMasters WSOP High Roller Edition [Freezeout] (Event #56)World Series of Poker - WSOP Online 2020 at GGPoker, Online",193rd,"$ 3,885"
09-Aug-2020,"$ 150 No Limit Hold'em - GGMasters WSOP Edition [Freezeout] (Event #57)World Series of Poker - WSOP Online 2020 at GGPoker, Online",459th,$ 527
19-Jul-2020,"$ 100 No Limit Hold'em - The Opener (Event #32)World Series of Poker - WSOP Online 2020 at GGPoker, Online",775th,$ 547
11-Feb-2020,"$ 10,300 No Limit Hold'em - MILLIONS South America (Event #7)partypoker LIVE - partypoker MILLIONS South America, Punta del Este",16th,"$ 35,000"
17-Jan-2020,"A$ 48,500 + 1,500 No Limit Hold'em - 50K Challenge (Event #15)2020 Aussie Millions Poker Championship, Melbourne",7th,"A$ 238,620"
10-Dec-2019,"€ 2,200 No Limit Hold'em - EPT National High Roller (Event #16)European Poker Tour - EPT Prague, Prague",100th,"$ 164,834"
18-Nov-2019,"$ 25,000 + 500 No Limit Hold'em - MILLIONS Super High Rollerpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",12th,"$ 4,304"
13-Aug-2019,"$ 10,000 No Limit Hold'em (Event #27)Seminole Hard Rock Poker Open, Hollywood",10th,"$ 80,000"
28-Jun-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS Vegaspartypoker LIVE - partypoker MILLIONS Vegas, Las Vegas",7th,"$ 33,135"
24-Jun-2019,"$ 1,500 No Limit Hold'em - Super Turbo Bounty (Event #56)50th World Series of Poker - WSOP 2019, Las Vegas",153rd,"$ 130,000"
23-Jun-2019,"$ 1,000 No Limit Hold'em - WSOP.com Online Double Stack (Event #55)50th World Series of Poker - WSOP 2019, Las Vegas",39th,"$ 1,762"
15-Jun-2019,"$ 3,000 No Limit Hold'em - Shootout (Event #36)50th World Series of Poker - WSOP 2019, Las Vegas",16th,"$ 4,812"
10-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 15Aria Summer High Rollers, Las Vegas",3rd,"$ 6,099"
30-May-2019,"$ 500 No Limit Hold'em - BIG 50 (Event #3)50th World Series of Poker - WSOP 2019, Las Vegas",4006th,"$ 41,600"
