Date,Event Name,Placement,Earning
24-May-2023,"$ 50,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 253,000"
10-Mar-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #11)Triton Poker Super High Roller Series Vietnam, Hoi An",3rd,"$ 199,300"
23-May-2022,"€ 100,000 No Limit Short Deck Hold'em - SD Main Event (Event #12)Triton Poker Series Madrid, Madrid",4th,"$ 681,409"
05-Apr-2022,"$ 75,000 No Limit Short Deck Hold'em - Triton Cyprus #3Triton Poker Cyprus - Special Edition, Kyrenia",6th,"$ 241,000"
20-Nov-2019,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",1st,"$ 850,000"
06-Aug-2019,"£ 100,000 No Limit Hold'em - Short Deck Main Event (Event #7)Triton Poker Super High Roller Series London, London",15th,"$ 215,365"
03-May-2019,"€ 25,000 No Limit Hold'em (Event #36)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 74,679"
26-Oct-2018,"€ 95,000 + 5,000 No Limit Hold'em - Super High Roller (Event #9)World Series of Poker Europe - WSOPE 2018, Rozvadov",14th,"$ 184,107"
28-Jul-2018,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante-Only 1M HKDTriton Poker Super High Roller Series Jeju, Jeju",3rd,"HK$ 9,120,000"
18-Jul-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Montenegro, Budva",2nd,"$ 1,162,094"
25-Jan-2015,"A$ 98,000 + 2,000 #11 No Limit Holdem Challenge2015 Aussie Millions Poker Championship, Melbourne",1st,"HK$ 11,252,000"
05-Sep-2013,"€ 10,000 + 300 No Limit Hold'em - High Roller Re-EntryEuropean Poker Tour - EPT Barcelona, Barcelona",7th,"$ 1,441,797"
02-Oct-2012,"€ 50,000 + 1,000 No Limit Hold'em - Majestic Roller - Re-EntryWorld Series Of Poker Europe - WSOPE 2012, Cannes",3rd,"A$ 1,870,000"
01-Jul-2012,"$ 1,000,000 The Big One for One Drop (Event #55)43rd World Series of Poker - WSOP 2012, Las Vegas",8th,"$ 1,477,560"
,,,"$ 88,287"
23-May-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 521,859"
25-May-2022,"€ 30,000 No Limit Short Deck Hold'em Ante Only Turbo (Event #14)Triton Poker Series Madrid, Madrid",5th,"$ 1,237,333"
16-May-2022,"€ 25,000 No Limit Short Deck Hold'em Ante Only (Event #5)Triton Poker Series Madrid, Madrid",2nd,
14-Mar-2020,"$ 100,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",3rd,"$ 323,000"
07-Aug-2019,"£ 50,000 No Limit Hold'em - Short Deck Ante-Only (Event #8)Triton Poker Super High Roller Series London, London",3rd,"$ 95,320"
06-May-2019,"HK$ 500,000 No Limit Hold'em - 6-Handed (Event #2)Triton Poker Super High Roller Series Montenegro, Budva",7th,"$ 371,956"
05-Mar-2019,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante Only (Event #5)Triton Poker Super High Roller Series Jeju, Jeju",6th,"$ 480,000"
30-Jul-2018,"HK$ 2,000,000 No Limit Hold'em - Triton Poker Super High Roller Series Main EventTriton Poker Super High Roller Series Jeju, Jeju",3rd,"$ 434,380"
13-May-2018,"HK$ 250,000 No Limit Hold'em - Six-MaxTriton Poker Super High Roller Series Montenegro, Budva",1st,"HK$ 1,820,000"
16-Jul-2017,"HK$ 240,000 + 10,000 No Limit Hold'em - 6 MaxTriton Poker Super High Roller Series Montenegro, Budva",6th,"$ 231,977"
24-Apr-2014,"€ 98,000 + 2,000 No Limit Hold'em - Super High RollerEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"HK$ 4,700,000"
18-Apr-2013,"HK$ 1,000,000 Manila MillionsAsian Poker Tour - APT Manila, Manila",2nd,"$ 598,764"
25-Sep-2012,"£ 100,000 No Limit Hold'emAspers 100K High Roller, London",2nd,"HK$ 16,720,000"
