Date,Event Name,Placement,Earning
04-Aug-2023,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 37)Seminole Hard Rock Poker Open (SHRPO), Hollywood",10th,"$ 87,960"
14-Jul-2023,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",79th,"$ 2,300"
08-Jul-2023,"$ 1,000 No Limit Hold'em - Championship (Online Bracelet Event 15) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",63rd,"$ 3,317"
02-Jul-2023,"$ 500 No Limit Hold'em - Deepstack (Online Bracelet Event 12) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",230th,"$ 1,090"
29-Jun-2023,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Bracelet Event 69)54th World Series of Poker - WSOP 2023, Las Vegas",8th,"$ 36,181"
26-Jun-2023,"$ 3,000 No Limit Hold'em - Freezeout (Bracelet Event 59)54th World Series of Poker - WSOP 2023, Las Vegas",231st,"$ 4,812"
22-Jun-2023,"$ 1,000 Pot Limit Omaha Championship (Online Bracelet Event 9) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",36th,"$ 2,912"
13-Jun-2023,"$ 3,000 No Limit Hold'em - 6-Handed (Bracelet Event 32)54th World Series of Poker - WSOP 2023, Las Vegas",52nd,"$ 9,621"
06-Jun-2023,"$ 600 No Limit Hold'em - Ultra Deepstack (Online Bracelet Event 4) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",156th,"$ 1,788"
31-May-2023,"$ 700 + 300 No Limit Hold'em - Mystery Millions (Bracelet Event 3)54th World Series of Poker - WSOP 2023, Las Vegas",1688th,"$ 1,327"
30-Mar-2023,"$ 1,100 + $500 No Limit Hold'em - Mystery Bounty (Event 39)Venetian DeepStack Showdown, Las Vegas",28th,"$ 4,342"
