Date,Event Name,Placement,Earning
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",11th,"$ 348,000"
27-Jul-2023,"$ 25,000 + 1,500 No Limit Hold'em - GGMillion$ Live 8-Handed (Event #1)Triton Poker Super High Roller Series London, London",9th,"$ 91,000"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",31st,"$ 48,107"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",16th,"$ 195,400"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",12th,"$ 238,700"
11-Dec-2022,"€ 49,000 + 1,000 No Limit Hold'em - EPT Super High Roller (Event #18)European Poker Tour - EPT Prague, Prague",7th,"$ 147,861"
10-Nov-2022,"€ 50,000 No Limit Hold'em - Diamond High Roller (Bracelet Event #11)World Series of Poker Europe - WSOPE 2022, Rozvadov",2nd,"$ 465,852"
10-Sep-2022,"$ 200,000 No Limit Hold'em - Coin Rivet Invitational (Event #6) Triton Poker Super High Roller Series Cyprus, Kyrenia",1st,"$ 5,500,000"
14-Aug-2022,"€ 2,200 No Limit Hold'em - ESPT High Roller (Event #26)European Poker Tour - EPT Barcelona, Barcelona",314th,"$ 3,427"
20-May-2022,"€ 100,000 No Limit Hold'em - Triton Main Event (Event #9)Triton Poker Series Madrid, Madrid",5th,"$ 756,631"
07-Apr-2022,"£ 1,000 + 100 No Limit Hold'em - UKIPT Main Event (Event #13)UK & Ireland Poker Tour - UKIPT London, London",63rd,"$ 2,534"
05-Mar-2022,"€ 10,000 + 200 No Limit Hold'em (Event #1)European Poker Tour - EPT Prague, Prague",1st,"$ 88,196"
29-Oct-2021,"$ 10,000 No Limit Hold'em - 6 Handed Championship (Event #56)52nd World Series of Poker - WSOP 2021, Las Vegas",16th,"$ 33,042"
21-Oct-2021,"$ 2,500 No Limit Hold'em (Event #41)52nd World Series of Poker - WSOP 2021, Las Vegas",127th,"$ 4,009"
