Date,Event Name,Placement,Earning
08-Aug-2023,"$ 30,000 + 1,800 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series London, London",4th,"$ 122,000"
31-Jul-2023,"$ 60,000 + 3,600 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series London, London",13th,"$ 112,300"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 1,923,918"
02-May-2023,"€ 2,000 + 1,000 No Limit Hold'em - EPT Mystery Bounty (Event 31)European Poker Tour - EPT Monte Carlo, Monte Carlo",33rd,"$ 5,273"
26-Apr-2023,"€ 5,200 + 5,000 No Limit Hold'em - Mystery Bounty (Event 4)European Poker Tour - EPT Monte Carlo, Monte Carlo",2nd,"$ 69,680"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",19th,"$ 175,000"
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",13th,"$ 87,200"
23-Feb-2023,"€ 25,000 No Limit Hold'em (Event #25)European Poker Tour - EPT Paris, Paris",2nd,"$ 189,416"
31-Jan-2023,"$ 250,000 No Limit Hold'em - Super High Roller (Event #53)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",1st,"$ 3,276,760"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",13th,"$ 21,995"
16-Dec-2022,"€ 10,000 + 300 No Limit Hold'em - EPT Prague High Roller (Event #44)European Poker Tour - EPT Prague, Prague",29th,"$ 10,482"
12-Dec-2022,"€ 5,000 + 300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",135th,"$ 268,000"
