Date,Event Name,Placement,Earning
16-Jul-2023,"$ 10,000 No Limit Hold'em - Short Deck (Bracelet Event 93)54th World Series of Poker - WSOP 2023, Las Vegas",8th,"$ 29,028"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",1st,"$ 393,516"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",42nd,"$ 50,224"
17-Jun-2023,"$ 10,000 + 100 No Limit Hold'em - ARIA High Roller #32023 ARIA High Roller Series, Las Vegas",1st,"$ 163,200"
30-May-2023,"$ 25,000 No Limit Hold'em - High Roller 6-Handed (Bracelet Event 2)54th World Series of Poker - WSOP 2023, Las Vegas",13th,"$ 62,763"
26-Apr-2023,"$ 50,000 No Limit Hold'em - Super High Roller (Event 42)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",4th,"$ 104,760"
25-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #3PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",1st,"$ 213,900"
13-Mar-2023,"$ 10,000 Pot Limit Omaha (Event #3)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",5th,"$ 91,000"
07-Feb-2023,"$ 10,000 + 300 Big Bet Mix (Event #4)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",6th,"$ 41,400"
17-Jan-2023,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",6th,"$ 75,000"
09-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #32PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 64,000"
01-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #25PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 61,600"
29-Sep-2022,"$ 25,000 Pot Limit Omaha - Poker Masters #8PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",6th,"$ 50,000"
19-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #20PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",4th,"$ 24,000"
09-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #14PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",2nd,"$ 116,000"
24-Mar-2022,"$ 25,000 No Limit Hold'em - US Poker Open #9PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",4th,"$ 157,500"
06-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #3PokerGO Tour - PGT Wynn High Rollers, Las Vegas",3rd,"$ 84,000"
08-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #7PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",2nd,"$ 236,500"
21-Nov-2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",3rd,"$ 830,992"
08-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 33PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",3rd,"$ 85,400"
03-Oct-2021,"$ 5,300 No Limit Hold'em - Freezeout (Event #1) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",23rd,"$ 7,410"
08-Sep-2021,"$ 10,000 No Limit Hold'em - Poker Masters #2PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",5th,"$ 68,800"
10-Aug-2021,"$ 10,000 No Limit Hold'em (Event #43)Seminole Hard Rock Poker Open (SHRPO), Hollywood",1st,"$ 293,205"
15-Jul-2021,"$ 15,000 No Limit Hold'em - Aria High Roller 21PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 92,400"
08-Jul-2021,"$ 10,000 No Limit Hold'em - PokerGO Cup #3PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",2nd,"$ 111,300"
06-Jul-2021,"$ 10,000 No Limit Hold'em - PokerGO Cup #1PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",9th,"$ 26,400"
09-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #7PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",15th,"$ 19,800"
03-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #1PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",12th,"$ 19,000"
