Date,Event Name,Placement,Earning
06-Sep-2020,"$ 10,000 No Limit Hold'em - WSOP Super MILLION$ (Event #83)World Series of Poker - WSOP Online 2020 at GGPoker, Online",27th,"$ 33,973"
02-Aug-2020,"$ 500 Turbo Deepstack No Limit Hold'em (Event #49)World Series of Poker - WSOP Online 2020 at GGPoker, Online",315th,"$ 1,214"
12-Apr-2020,"$ 10,000 + 300 Pot Limit Omaha - 6 Max - Poker Masters #02 (ONLINE)Poker Masters Online, Online",8th,"$ 20,000"
20-Oct-2019,"€ 25,500 No Limit Hold'em - Platinum High Roller (Event #8)World Series of Poker Europe - WSOPE 2019, Rozvadov",2nd,"$ 412,256"
08-Apr-2019,"£ 5,000 + 300 No Limit Hold'em - Super High RollerWSOP International Circuit - WSOPC UK, Nottingham",2nd,"$ 74,331"
19-Nov-2017,"$ 25,000 + 500 No Limit Hold'em - #3 MILLIONS Super High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",3rd,"$ 165,000"
05-May-2017,"C$ 5,000 + 300 No Limit Hold'em partypoker MILLION North America (Event #2)partypoker LIVE - partypoker MILLION North America, Kahnawake",50th,"C$ 25,000"
31-Oct-2016,"£ 5,000 No Limit Hold'em Devilfish CupWorld Poker Tour - partypoker WPT UK, Nottingham",11th,"$ 18,204"
16-Oct-2014,"£ 10,000 + 300 #32 No Limit Hold'em - EPT High RollerEuropean Poker Tour - EPT London, London",20th,"$ 24,371"
05-Sep-2014,"$ 4,000 + 400 partypoker WPT Merit North Cyprus Main Event #9World Poker Tour - partypoker WPT Merit Classic North Cyprus, Kyrenia",31st,"$ 33,994"
03-Jul-2014,"$ 10,000 Pot Limit Omaha (Event #64)45th World Series of Poker - WSOP 2014, Las Vegas",18th,"$ 9,500"
26-Apr-2014,"€ 10,000 + 600 No Limit Hold'em - Main EventEuropean Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",75th,"$ 35,402"
