Date,Event Name,Placement,Earning
14-Jul-2023,"$ 1,000 No Limit Hold'em - Flip & GO - Presented by GGPoker (Bracelet Event 89)54th World Series of Poker - WSOP 2023, Las Vegas",54th,"$ 3,320"
28-Jun-2023,"$ 5,000 No Limit Hold'em - 6-Handed (Bracelet Event 65)54th World Series of Poker - WSOP 2023, Las Vegas",39th,"$ 22,344"
01-Oct-2022,"$ 50,000 No Limit Hold'em - Poker Masters #10PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",3rd,"$ 296,000"
15-Jul-2022,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Event #86)53rd World Series of Poker - WSOP 2022, Las Vegas",53rd,"$ 16,000"
10-Jul-2022,"$ 7,777 No Limit Hold'em - Lucky 7s High Roller (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",28th,"$ 13,359"
17-Jun-2022,"$ 10,000 No Limit 2-7 Draw Lowball Championship (Event #38)53rd World Series of Poker - WSOP 2022, Las Vegas",2nd,"$ 182,086"
01-Jun-2022,"$ 2,500 No Limit Hold'em - Freezeout (Event #3)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 320,059"
23-Mar-2022,"$ 15,000 Pot Limit Omaha - US Poker Open #8PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",2nd,"$ 201,000"
18-Mar-2022,"$ 10,000 No Limit Hold'em - US Poker Open #3PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",12th,"$ 17,600"
13-Nov-2021,"$ 10,000 Seven Card Stud Hi/Lo Championship (Event #73)52nd World Series of Poker - WSOP 2021, Las Vegas",4th,"$ 107,967"
24-Oct-2021,"$ 5,000 No Limit Hold'em - 8 Handed (Event #47)52nd World Series of Poker - WSOP 2021, Las Vegas",17th,"$ 13,707"
18-Oct-2021,"$ 10,000 Dealer's Choice 6 Handed Championship (Event #36)52nd World Series of Poker - WSOP 2021, Las Vegas",12th,"$ 20,726"
13-Dec-2020,"$ 10,000 No Limit Hold'em - Domestic Main EventWorld Series of Poker - WSOP 2020 Main Event, Online",39th,"$ 25,718"
16-Aug-2020,"$ 840 Super Turbo Bounty No Limit Hold'em (Event #64)World Series of Poker - WSOP Online 2020 at GGPoker, Online",109th,"$ 2,067"
26-Jun-2019,"$ 10,000 Razz Championship (Event #62)50th World Series of Poker - WSOP 2019, Las Vegas",1st,"$ 301,421"
07-Jun-2019,"$ 1,500 Seven Card Stud (Event #20)50th World Series of Poker - WSOP 2019, Las Vegas",8th,"$ 8,337"
25-Jun-2018,"$ 10,000 Limit Hold'em - Championship (Event #52)49th World Series of Poker - WSOP 2018, Las Vegas",1st,"$ 296,222"
02-Jun-2018,"$ 2,500 Mixed Triple Draw Lowball (Event #8)49th World Series of Poker - WSOP 2018, Las Vegas",2nd,"$ 111,516"
23-Aug-2017,"$ 25,000 No Limit Hold'em - Week 2 - Voices Carry Event #2 Poker After Dark (PAD) Season VIII, Las Vegas",6th,"$ 125,142"
02-Jul-2017,"$ 50,000 Poker Players Championship - 6 Handed (Event #62)48th World Series of Poker - WSOP 2017, Las Vegas",9th,"$ 163,445"
24-Mar-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 55, Las Vegas",3rd,"$ 232,632"
03-Feb-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 51, Las Vegas",2nd,"$ 384,425"
08-Jul-2016,"$ 111,111 No Limit Hold'em High Roller for One Drop (single re-entry) (Event #67)47th World Series of Poker - WSOP 2016, Las Vegas",9th,"$ 24,722"
23-Jun-2016,"$ 10,000 No Limit Hold'em 6-Handed  Championship (Event #39)47th World Series of Poker - WSOP 2016, Las Vegas",19th,"$ 96,500"
09-Jan-2016,"$ 50,000 #38 No Limit Hold'em -  High Roller 8-HandedPokerStars Caribbean Adventure - PCA 2016, Paradise Island",10th,"$ 25,064"
28-Oct-2015,"€ 5,000 + 200 #58 No Limit Hold'em  HyperturboEuropean Poker Tour - EPT Malta, St. Julian’s",5th,"$ 5,160,000"
02-Jul-2015,"$ 500,000 No Limit Hold'em - Super High Roller Bowl2015 Super High Roller Bowl, Las Vegas",2nd,"$ 3,989"
03-Jun-2015,"$ 1,500 No Limit Hold'em Six Handed (Event #12)46th World Series of Poker - WSOP 2015, Las Vegas",83rd,"$ 69,218"
06-May-2015,"€ 25,000 + 500 No Limit Hold'em - High Roller 8 Handed (Event #61)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",20th,"$ 103,940"
03-May-2015,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller 8 Handed (Event #34)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",9th,"$ 30,900"
