Date,Event Name,Placement,Earning
27-Jul-2023,"$ 1,515 + 185 No Limit Holde'em - Main Event (Event #12)World Series of Poker Circuit - WSOPC Dallas/Oklahoma, Durant",48th,"$ 4,688"
12-Jan-2023,"$ 1,700 No Limit Hold'em - Championship (Event 9)World Series of Poker Circuit - WSOPC Dallas/Oklahoma, Durant",164th,"$ 2,716"
24-Aug-2022,"$ 400 No Limit Hold'em - Double Stack (Ring Event #9)World Series of Poker Circuit - WSOPC Tulsa, Tulsa",8th,"$ 2,320"
30-Jun-2022,"$ 600 Pot Limit Omaha - Deep Stack (Event #64)53rd World Series of Poker - WSOP 2022, Las Vegas",305th,"$ 1,051"
22-Oct-2021,"$ 1,000 No Limit Hold'em - Double Stack (Event #43)52nd World Series of Poker - WSOP 2021, Las Vegas",470th,"$ 1,752"
21-Jul-2019,"$ 550 No Limit Hold'em - Main Event (Event #11)Dayton Beach Great American Poker Tournaments, Daytona Beach",19th,"$ 1,721"
23-Aug-2018,"$ 450 No Limit Hold'em #22018 WinStar River Poker Series, Thackerville",58th,"$ 1,462"
12-Jul-2018,"$ 1,500 No Limit Hold'em - The Closer (Event #75)49th World Series of Poker - WSOP 2018, Las Vegas",209th,"$ 3,515"
26-Jun-2018,"$ 3,000 No Limit Hold'em (Event #54)49th World Series of Poker - WSOP 2018, Las Vegas",45th,"$ 10,387"
20-Jun-2018,"$ 25,000 Pot Limit Omaha - High Roller (Event #42)49th World Series of Poker - WSOP 2018, Las Vegas",3rd,"$ 592,875"
11-Jun-2018,"$ 2,620 No Limit Hold'em - The Marathon (Event #24)49th World Series of Poker - WSOP 2018, Las Vegas",46th,"$ 11,329"
28-May-2018,"No Limit Hold'em - ClubWPT Challenge the Champs ClubWPT - Challenge The Champs, Las Vegas",1st,"$ 30,000"
08-Jul-2017,"$ 10,000 No Limit Hold'em - Main Event Championship (Event #73)48th World Series of Poker - WSOP 2017, Las Vegas",549th,"$ 22,449"
22-Jun-2017,"$ 3,000 H.O.R.S.E. (Event #44)48th World Series of Poker - WSOP 2017, Las Vegas",35th,"$ 5,496"
02-Jun-2016,"$ 565 No Limit Hold'em Colossus II (Event #2)47th World Series of Poker - WSOP 2016, Las Vegas",259th,"$ 5,122"
13-Sep-2015,"$ 125 + 25 No Limit Hold'em - Senior 50+ (Event #3)WPTDeepStacks - WPTDS Immokalee, Immokalee",2nd,"$ 2,700"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",713th,"$ 15,000"
12-Jun-2015,"$ 1,500 No Limit Hold'em Monster Stack (Event #28)46th World Series of Poker - WSOP 2015, Las Vegas",101st,"$ 8,155"
10-Oct-2014,"$ 1,000 + 80 No Limit Hold'em - Main Event10 Year Anniversary Series, Turlock",4th,"$ 11,151"
28-Aug-2014,"$ 5,300 No Limit Hold'em SHRPO Main Event (#Event 16)2014 Seminole Hard Rock Poker Open, Hollywood",271st,"$ 7,483"
13-Jun-2014,"$ 2,500 No Limit Hold'em (Event #29)45th World Series of Poker - WSOP 2014, Las Vegas",83rd,"$ 5,936"
06-Dec-2013,"$ 10,000 + 300 No Limit Hold'em - Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",29th,"$ 26,039"
