Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",6th,"$ 370,200"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",1188th,"$ 17,500"
25-Jun-2023,"$ 25,000 Pot Limit Omaha - High Roller - 8-Handed (Bracelet Event 57)54th World Series of Poker - WSOP 2023, Las Vegas",46th,"$ 50,224"
20-Jun-2023,"$ 10,000 + 100 Pot Limit Omaha - ARIA High Roller #42023 ARIA High Roller Series, Las Vegas",11th,"$ 26,700"
02-Jun-2023,"$ 25,000 No Limit Hold'em - Heads-Up Championship (Bracelet Event 8)54th World Series of Poker - WSOP 2023, Las Vegas",3rd,"$ 192,513"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",6th,"$ 595,000"
14-May-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 488,000"
11-May-2023,"$ 20,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 85,500"
27-Mar-2023,"$ 10,000 Pot Limit Omaha - U.S. Poker Open #4PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",9th,"$ 23,100"
17-Mar-2023,"$ 10,000 + 5,000 Pot Limit Omaha - Bounty (Event #7)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",17th,"$ 17,100"
12-Mar-2023,"$ 3,000 + 2,000 Pot Limit Omaha - Bounty (Event #2)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",19th,"$ 8,055"
19-Jan-2023,"$ 50,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",3rd,"$ 208,000"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",2nd,"$ 23,000"
13-Oct-2022,"$ 10,000 Pot Limit Omaha - Bellagio High Roller #6 (Event #12)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",4th,"$ 432,000"
30-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #9PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",1st,"$ 505,700"
08-Aug-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 40)Seminole Hard Rock Poker Open (SHRPO), Hollywood",2nd,"$ 4,436"
11-Jul-2022,"$ 1,500 Mixed No Limit Hold'em/Pot Limit Omaha - 8-Handed (Event #77)53rd World Series of Poker - WSOP 2022, Las Vegas",62nd,"$ 156,401"
18-Jun-2022,"$ 3,000 Pot Limit Omaha - 6-Handed (Event #39)53rd World Series of Poker - WSOP 2022, Las Vegas",3rd,"$ 75,045"
02-Jun-2022,"$ 25,000 No Limit Hold'em - Heads-Up Championship (Event #6)53rd World Series of Poker - WSOP 2022, Las Vegas",5th,"$ 756,000"
27-Mar-2022,"$ 50,000 No Limit Hold'em - US Poker Open #12PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",1st,"$ 60,000"
06-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #3PokerGO Tour - PGT Wynn High Rollers, Las Vegas",4th,"$ 39,200"
01-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #1PokerGO Tour - PGT Wynn High Rollers, Las Vegas",5th,"$ 112,750"
06-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",4th,"$ 62,500"
17-Jan-2022,"$ 25,000 + 500 No Limit Hold'em - Stairway to Millions #6PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",4th,"$ 15,507"
17-Dec-2021,"$ 5,300 No Limit Hold'em - ChampionshipThe Wynn Winter Classic, Las Vegas",48th,"$ 130,055"
07-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 32PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 161,250"
15-Sep-2021,"$ 25,000 Pot Limit Omaha - Poker Masters #9PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 21,000"
12-Aug-2021,"$ 10,000 No Limit Hold'em - Venetian High Roller 04PokerGO Tour - PGT Venetian High Rollers, Las Vegas",5th,"$ 368,000"
13-Jul-2021,"$ 100,000 No Limit Hold'em - PokerGO Cup #8PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",3rd,"$ 756,000"
14-Jun-2021,"$ 50,000 No Limit Hold'em - U.S. Poker Open #12PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",1st,"$ 43,000"
29-May-2021,"$ 25,000 No Limit Hold'em - Venetian High Roller 03 (Event #31)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",7th,"$ 90,000"
07-May-2021,"$ 25,000 No Limit Hold'em - Aria High Roller 17PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",4th,"$ 142,590"
21-Apr-2021,"$ 50,000 No Limit Hold'em - Super High Roller (Event #16)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",5th,"$ 13,838"
12-Mar-2021,"$ 3,300 + 200 No Limit Hold'em - ChampionshipThe Wynn Spring Classic, Las Vegas",31st,"$ 80,000"
29-Jan-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 02PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 32,000"
19-Dec-2020,"$ 10,000 No Limit Hold'emWynn High Rollers, Las Vegas",3rd,"$ 24,161"
27-Aug-2020,"$ 1,500 Pot Limit Omaha (Event #74)World Series of Poker - WSOP Online 2020 at GGPoker, Online",8th,"$ 7,454"
29-Jul-2020,"$ 2,500 No Limit Hold'em 6-Handed (Event #44)World Series of Poker - WSOP Online 2020 at GGPoker, Online",37th,"A$ 34,400"
26-Jan-2020,"A$ 10,000 Pot Limit Omaha (Event #2)Australian Poker Open, Gold Coast",5th,"$ 23,485"
13-Dec-2019,"$ 10,000 No Limit Hold'em - Bellagio High Roller (Event #14)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",6th,"$ 36,000"
20-Nov-2019,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",5th,"$ 260,000"
12-Nov-2019,"$ 25,000 No Limit Hold'em - Poker Masters #9 $25K NLHE2019 Poker Masters, Las Vegas",3rd,"$ 183,750"
10-Nov-2019,"$ 25,000 Pot Limit Omaha - Poker Masters #7 $25K PLO2019 Poker Masters, Las Vegas",2nd,"$ 221,000"
03-Oct-2019,"$ 10,000 No Limit Hold'emAria High Roller 31, Las Vegas",2nd,"$ 60,000"
08-Jul-2019,"$ 50,000 No Limit Hold'em - High Roller (Event #90)50th World Series of Poker - WSOP 2019, Las Vegas",15th,"$ 83,830"
02-May-2019,"€ 25,000 No Limit Hold'em - EPT High Roller (Event #30)European Poker Tour - EPT Monte Carlo, Monte Carlo",17th,"$ 54,768"
15-Apr-2019,"$ 25,500 No Limit Hold'em - High Roller (Event #23)Seminole Hard Rock Poker Showdown, Hollywood",10th,"$ 66,025"
21-Feb-2019,"$ 50,000 No Limit Hold'em - USPO #09 50K NLH (Event #9)2019 US Poker Open, Las Vegas",3rd,"$ 328,000"
15-Feb-2019,"$ 10,000 No Limit Hold'em - USPO #03 10K NLH (Event #3)2019 US Poker Open, Las Vegas",5th,"$ 72,800"
13-Feb-2019,"$ 10,000 No Limit Hold'em - USPO #01 10K NLH (Event #1)2019 US Poker Open, Las Vegas",2nd,"$ 157,000"
08-Jan-2019,"$ 25,000 No Limit Hold'em (Event #10)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",1st,"$ 495,210"
13-Nov-2018,"$ 250,000 No Limit Hold'em - Super High Roller Championshipspartypoker LIVE - partypoker Caribbean Poker Party, Nassau",2nd,"$ 2,430,000"
30-Oct-2018,"$ 10,000 + 500 Pot Limit OmahaFall Madness, Las Vegas",4th,"$ 28,000"
13-Jul-2018,"$ 50,000 No Limit Hold'em - High Roller (Event #77)49th World Series of Poker - WSOP 2018, Las Vegas",2nd,"$ 1,020,253"
19-May-2018,"$ 25,000 + 1,000 No Limit Hold'emAria High Roller 83, Las Vegas",2nd,"$ 112,500"
01-May-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Bellagio Elite Poker ChampionshipWorld Poker Tour - WPT Bellagio Elite Poker Championship, Las Vegas",9th,"$ 24,444"
11-Apr-2018,"€ 10,000 + 300 No Limit Hold'em - Main Event #7partypoker LIVE - partypoker MILLIONS Barcelona Grand Final, Barcelona",11th,"$ 123,365"
01-Mar-2018,"$ 10,000 + 500 No Limit Hold'emAria 10K-05, Las Vegas",3rd,"$ 44,800"
22-Jan-2018,"$ 25,500 No Limit Hold'em - High Roller #202018 World Poker Tour - WPT Lucky Hearts Poker Open, Hollywood",8th,"$ 60,000"
17-Nov-2017,"$ 10,000 + 300 No Limit Hold'em - #2 MILLIONS High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",8th,"$ 40,000"
20-Oct-2017,"$ 25,000 No Limit Hold'em - High Roller (Event #18)World Poker Tour - WPT bestbet Bounty Scramble, Jacksonville",2nd,"$ 158,184"
19-Aug-2017,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 74, Las Vegas",1st,"$ 175,000"
04-Apr-2017,"$ 25,500 No Limit Hold'em High-Roller (Event #28)Seminole Hard Rock Poker Showdown, Hollywood",14th,"$ 60,900"
03-Feb-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 51, Las Vegas",6th,"$ 43,200"
05-Dec-2016,"$ 10,000 + 400 No Limit Hold'em #17 Five Diamond Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",65th,"$ 22,251"
17-Nov-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 45, Las Vegas",2nd,"$ 230,400"
06-Aug-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 39, Las Vegas",4th,"$ 44,160"
18-Jun-2016,"$ 3,000 Pot-Limit Omaha Six-Handed (Event #30)47th World Series of Poker - WSOP 2016, Las Vegas",8th,"$ 33,744"
03-Jun-2016,"$ 48,000 + 2,000 No Limit Hold'emAria Super High Roller 8, Las Vegas",3rd,"$ 525,757"
12-Jan-2016,"$ 25,000 #74 No Limit Hold'em - High Roller 8-HandedPokerStars Caribbean Adventure - PCA 2016, Paradise Island",2nd,"$ 914,580"
