Date,Event Name,Placement,Earning
05-Sep-2022,"$ 25,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 59,000"
26-Jul-2022,"RM 47,500 + 2,500 No Limit Hold'em - Super High Roller (Event #9)Poker Dream Malaysia 2022, Kuala Lumpur",4th,"$ 81,329"
22-Jul-2022,"RM 1,350 + 150 No Limit Hold'em - Warm-Up (Event #1)Poker Dream Malaysia 2022, Kuala Lumpur",1st,"$ 44,444"
06-Apr-2022,"$ 75,000 No Limit Short Deck Hold'em - Triton Cyprus #5Triton Poker Cyprus - Special Edition, Kyrenia",2nd,"$ 699,500"
30-Aug-2021,"$ 250,000 No Limit Hold'em - SHRB Europe Main EventMerit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",2nd,"$ 2,460,000"
13-Mar-2020,"$ 250,000 No Limit Hold'em - Super High Roller Bowlpartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",6th,"$ 600,000"
07-Mar-2020,"$ 25,500 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",2nd,"$ 290,000"
16-May-2019,"HK$ 500,000 Short Deck No Limit Hold'em - Ante Only (Event #9)Triton Poker Super High Roller Series Montenegro, Budva",3rd,"HK$ 3,250,000"
01-May-2019,"€ 5,200 Pot Limit Omaha - High Roller  (Event #24)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 414,060"
30-Nov-2018,"KRW 57,000,000 + 3,000,000 No Limit Hold'em - Super High Roller  (Event #2)Jeju Red Dragon 2018, Jeju",4th,"$ 59,224"
28-Oct-2018,"€ 1,000 + 100 No Limit Hold'em - Turbo 6maxWorld Series of Poker Europe - WSOPE 2018, Rozvadov",5th,"$ 257,679"
23-Oct-2018,"€ 25,000 No Limit Hold'em - King's Short Deck ChampionshipWorld Series of Poker Europe - WSOPE 2018, Rozvadov",2nd,"$ 3,450"
