Date,Event Name,Placement,Earning
14-Jul-2023,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",71st,"$ 17,596"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",501st,"$ 35,000"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",41st,"$ 15,340"
10-May-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",17th,"$ 55,300"
30-Jan-2023,"$ 24,500 + 500 No Limit Hold'em - PSPC Main Event (Event #48)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",104th,"$ 46,500"
28-Nov-2022,"$ 25,500 No Limit Hold'em - High Roller (Event 37)WPT Rock 'N' Roll Poker Open, Hollywood",1st,"$ 500,000"
28-Aug-2022,"$ 10,000 No Limit Hold'em - Super Million$ High Roller ONLINE (Online Bracelet Event #12)World Series of Poker - WSOP ONLINE 2022 at GGPoker (International), Online",45th,"$ 27,029"
05-Aug-2022,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",1st,"$ 900,100"
05-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #10PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",4th,"$ 49,500"
01-Jun-2022,"$ 2,500 No Limit Hold'em - Freezeout (Event #3)53rd World Series of Poker - WSOP 2022, Las Vegas",5th,"$ 72,233"
06-Mar-2022,"$ 10,200 No Limit Hold'em - Wynn High Roller #3PokerGO Tour - PGT Wynn High Rollers, Las Vegas",6th,"$ 36,000"
14-Nov-2021,"$ 7,777 No Limit Hold'em - Lucky 7's High Roller (Event #8) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",7th,"$ 51,071"
19-Oct-2021,"$ 1,600 No Limit Hold'emThe Wynn Fall Classic, Las Vegas",1st,"$ 270,000"
06-Oct-2021,"$ 3,000 No Limit Hold'em (Event #13)52nd World Series of Poker - WSOP 2021, Las Vegas",21st,"$ 10,816"
24-Aug-2021,"$ 25,000 No Limit Hold'em - SHRB Europe Event 02Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",12th,"$ 40,500"
02-Aug-2021,"$ 1,500 No Limit Hold'em - Millionaire Maker ONLINE (Event #7)World Series of Poker - WSOP ONLINE 2021 at GGPoker (International), Online",172nd,"$ 5,389"
17-Jun-2021,"$ 1,600 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",5th,"$ 70,351"
05-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #3PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",9th,"$ 23,100"
23-Apr-2021,"$ 3,500 No Limit Hold'em - WPT SHRPO Championship (Event #18)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",27th,"$ 26,130"
11-Mar-2021,"$ 10,000 + 500 No Limit Hold'em - High RollerThe Wynn Spring Classic, Las Vegas",4th,"$ 83,000"
05-Mar-2021,"$ 4,625 + 375 No Limit Hold'em - WPT at Venetian Main Event (Event #10)World Poker Tour - WPT at Venetian DeepStack Showdown Poker Series, Las Vegas",7th,"$ 120,140"
05-Sep-2020,"$ 1,050 No Limit Hold'em - Beat the Pros [Bounty] (Event #82)World Series of Poker - WSOP Online 2020 at GGPoker, Online",139th,"$ 2,025"
30-Aug-2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",190th,"$ 2,358"
08-Aug-2020,"$ 3,000 + 200 WPT World Championship 6-Max - Online (Event #4)World Poker Tour - WPT Online World Championship by partypoker, Online",18th,"$ 25,500"
26-Jul-2020,"$ 400 Pot Limit Omaha - PLOSSUS (Event #42)World Series of Poker - WSOP Online 2020 at GGPoker, Online",262nd,"$ 1,300"
17-Jan-2020,"A$ 10,000 + 600 No Limit Hold'em - Aussie Millions Main Event (Event #14)2020 Aussie Millions Poker Championship, Melbourne",48th,"A$ 25,420"
29-Aug-2019,"€ 25,000 No Limit Hold'em (Event #34)European Poker Tour - EPT Barcelona, Barcelona",6th,"$ 17,559"
15-Jul-2019,"$ 5,000 No Limit Hold'em (Event #89)50th World Series of Poker - WSOP 2019, Las Vegas",65th,"$ 182,546"
21-May-2019,"C$ 10,000 + 300 No Limit Hold'em - MILLIONS North Americapartypoker LIVE - partypoker MILLIONS North America, Kahnawake",60th,"$ 8,401"
