Date,Event Name,Placement,Earning
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",10th,"$ 360,000"
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",9th,"$ 400,500"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",44th,"$ 11,832"
12-May-2023,"$ 15,000 + 15,000 No Limit Hold'em - Mystery Bounty 6-Handed (Event #3)Triton Poker Super High Roller Series Cyprus, Kyrenia",12th,"$ 39,500"
01-May-2023,"€ 50,000 No Limit Hold'em (Event 25)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 281,497"
04-Mar-2023,"$ 30,000 No Limit Hold'em - 7-Handed (Event #5)Triton Poker Super High Roller Series Vietnam, Hoi An",5th,"$ 353,700"
01-Mar-2023,"$ 25,000 No Limit Hold'em - GG Super Million$ Live (Event #1)Triton Poker Super High Roller Series Vietnam, Hoi An",4th,"$ 357,000"
18-Feb-2023,"€ 25,000 No Limit Hold'em (Event #9)European Poker Tour - EPT Paris, Paris",3rd,"$ 186,200"
26-Jan-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #25)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",3rd,"$ 77,950"
22-Jan-2023,"$ 98,000 + 1,000 No Limit Hold'em - PCA Super High Roller (Event #1)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",2nd,"$ 1,078,347"
21-Dec-2022,"No Limit Hold'em - PGT Championship PokerGO Tour - 2022 PGT Championship, Las Vegas",7th,"$ 4,050"
14-Oct-2022,"$ 500 No Limit Hold'em - Super Turbo ONLINE (Online Bracelet Event #27)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",8th,"$ 135,000"
30-Sep-2022,"$ 25,000 No Limit Hold'em - Poker Masters #9PokerGO Tour - 2022 PGT Poker Masters, Las Vegas",4th,"$ 290,857"
16-Sep-2022,"$ 50,000 No Limit Short Deck Hold'em - Ante Only Single Bullet (Event #12)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 770,000"
10-Sep-2022,"$ 200,000 No Limit Hold'em - Coin Rivet Invitational (Event #6) Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 109,500"
05-Sep-2022,"$ 25,000 No Limit Hold'em - 8-Handed (Event #1)Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 100,000"
14-Jul-2022,"$ 50,000 No Limit Hold'em - High Roller (Event #83)53rd World Series of Poker - WSOP 2022, Las Vegas",11th,"$ 5,712"
