Date,Event Name,Placement,Earning
02-Aug-2023,"$ 25,500 Pot Limit Omaha - High Roller (Event 29)Seminole Hard Rock Poker Open (SHRPO), Hollywood",1st,"$ 239,100"
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",180th,"$ 1,305"
14-Jul-2023,"$ 1,500 No Limit Hold'em - The Closer (Bracelet Event 88)54th World Series of Poker - WSOP 2023, Las Vegas",380th,"$ 2,628"
09-Jul-2023,"$ 600 No Limit Hold'em - Deepstack Championship (Online Bracelet Event 16) (NVNJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",155th,"$ 1,398"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",35th,"$ 12,036"
27-Jun-2023,"$ 1,500 Mixed No-Limit Hold'em/Pot Limit Omaha - 8-Handed (Bracelet Event 62)54th World Series of Poker - WSOP 2023, Las Vegas",125th,"$ 3,731"
25-Jun-2023,"$ 400 No Limit Hold'em - Ultra Deepstack (Online Bracelet Event 10) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",75th,"$ 1,671"
22-Jun-2023,"$ 1,000 Pot Limit Omaha Championship (Online Bracelet Event 9) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",26th,"$ 3,518"
18-Jun-2023,"$ 500 Pot Limit Omaha 8-Max (Online Bracelet Event 7) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",113th,$ 808
11-Jun-2023,"$ 1,500 Mixed Games: Eight-Game Mix - 6-Handed (Bracelet Event 27)54th World Series of Poker - WSOP 2023, Las Vegas",1st,"$ 198,854"
06-Jun-2023,"$ 1,500 Omaha Hi-Lo 8 or Better 8-Handed (Bracelet Event 17)54th World Series of Poker - WSOP 2023, Las Vegas",145th,"$ 2,404"
04-Jun-2023,"$ 1,000 No Limit Hold'em - Deepstack (Online Bracelet Event 3) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",2nd,"$ 105,708"
01-Jun-2023,"$ 5,000 No Limit Hold'em/Pot Limit Omaha (Bracelet Event 6)54th World Series of Poker - WSOP 2023, Las Vegas",58th,"$ 8,750"
10-May-2023,"$ 3,000 No Limit Hold'em - Main Event (Event 19)The Lodge Championship Series, Round Rock",6th,"$ 84,506"
05-May-2023,"$ 10,000 No Limit Hold'em - Heads-Up High Stakes Duel Undercard PokerGO High Stakes Duel 4 Undercard | Deeb vs Matusow, Las Vegas",2nd,"$ 208,800"
04-Feb-2023,"$ 10,000 + 300 H.O.R.S.E. (Event #1)PokerGO Tour - 2023 PGT Mixed Games, Las Vegas",1st,"$ 4,650"
26-Jan-2023,"$ 1,716 + 284 + 1,000 No Limit Hold'em - PCA Mystery Bounty Championship (Event #23)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",55th,"$ 316,288"
10-Nov-2022,"€ 50,000 No Limit Hold'em - Diamond High Roller (Bracelet Event #11)World Series of Poker Europe - WSOPE 2022, Rozvadov",3rd,"$ 205,172"
07-Nov-2022,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",3rd,"$ 1,394"
03-Nov-2022,"€ 550 No Limit Hold'em - Colossus (Bracelet Event #5)World Series of Poker Europe - WSOPE 2022, Rozvadov",102nd,"$ 16,740"
15-Jul-2022,"$ 1,500 No Limit Hold'em - The Closer (Event #85)53rd World Series of Poker - WSOP 2022, Las Vegas",30th,"$ 8,635"
10-Jul-2022,"$ 1,000 No Limit Hold'em - Online Bracelet Championship (NV/NJ Only)World Series of Poker - WSOP ONLINE 2022 (US ONLY), Online",16th,"$ 23,148"
