Date,Event Name,Placement,Earning
23-Nov-2022,"R$ 10,000 No Limit Hold'em - High Roller (Event 55)Brazilian Series of Poker - BSOP Millions 2022, Sao Paulo",41st,"R$ 17,320"
16-Jul-2022,"$ 5,000 No Limit Hold'em (Event #87)53rd World Series of Poker - WSOP 2022, Las Vegas",67th,"$ 3,227"
21-Nov-2021,"$ 100,000 No Limit Hold'em - High Roller (Event #87)52nd World Series of Poker - WSOP 2021, Las Vegas",6th,"$ 8,843"
30-Aug-2020,"$ 1,000 Turbo No Limit Hold'em 6-Handed (Event #78)World Series of Poker - WSOP Online 2020 at GGPoker, Online",129th,"$ 331,806"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1413th,"$ 2,638"
23-Jul-2020,"$ 1,050 Pot Limit Omaha Bounty (Event #37)World Series of Poker - WSOP Online 2020 at GGPoker, Online",41st,"$ 1,444"
05-Jul-2020,"$ 1,000 No Limit Hold'em - Freezeout (Event #5)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",117th,"$ 1,891"
09-Jan-2020,"$ 10,000 No Limit Hold'em - WPT Gardens Poker Championship (Event #15)World Poker Tour - WPT Gardens Poker Championship, Los Angeles",15th,"$ 1,623"
27-Feb-2019,"$ 2,140 No Limit Hold'em (Event #59)2019 Los Angeles Poker Classic (LAPC), Los Angeles",4th,"$ 29,730"
21-Jan-2019,"A$ 1,025 + 125 Pot Limit Omaha #42019 Aussie Millions Poker Championship, Melbourne",15th,"$ 14,660"
11-Dec-2018,"$ 10,000 + 400 No Limit Hold'em - WPT Five Diamond World Poker Classic Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",12th,"A$ 3,985"
29-Oct-2018,"C$ 5,000 + 300 No Limit Hold'em - Main Event #2World Poker Tour - partypoker WPT Montreal, Kahnawake",3rd,"$ 2,856"
14-Jul-2018,"$ 5,000 + 225 No Limit Hold'em - CPPT #126DeepStack Championship Poker Series, Las Vegas",15th,"$ 130,052"
30-Jun-2018,"$ 888 No Limit Hold'em - Crazy Eights (Event #62)49th World Series of Poker - WSOP 2018, Las Vegas",364th,"C$ 410,000"
16-Jun-2018,"$ 1,000 No Limit Hold'em - Double Stack (Event #34)49th World Series of Poker - WSOP 2018, Las Vegas",716th,"$ 313,039"
02-Jun-2018,"$ 565 No Limit Hold'em - Colossus (Event #7)49th World Series of Poker - WSOP 2018, Las Vegas",556th,"$ 30,359"
24-Feb-2018,"$ 1,675 No Limit Hold'em - Main Event #11WSOP Circuit - WSOPC Las Vegas, Las Vegas",29th,"$ 3,031"
06-Oct-2017,"$ 1,500 + 100 No Limit Hold'em - Championship2017 The Wynn Fall Classic, Las Vegas",11th,"$ 1,598"
01-Jul-2017,"$ 888 No Limit Hold'em - Crazy Eights (Event #60)48th World Series of Poker - WSOP 2017, Las Vegas",825th,"$ 3,042"
10-Jun-2017,"$ 1,500 No Limit Hold'em - Millionaire Maker (Event #20)48th World Series of Poker - WSOP 2017, Las Vegas",1011th,"$ 6,865"
04-May-2017,"C$ 10,000 + 300 No Limit Hold'em - High Rollerpartypoker LIVE - partypoker MILLION North America, Kahnawake",3rd,"$ 11,581"
12-Mar-2017,"$ 3,500 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Rolling Thunder, Lincoln",2nd,"$ 1,575"
20-Feb-2017,"$ 1,600 No Limit Hold'em - Superstack #38DeepStack Extravaganza I, Las Vegas",18th,"$ 2,357"
09-Feb-2017,"$ 800 No Limit Hold'em - Eight Max #18DeepStack Extravaganza I, Las Vegas",1st,"C$ 84,100"
30-Sep-2016,"$ 545 + 55 No Limit Hold'em2016 The Wynn Fall Classic, Las Vegas",19th,"$ 61,304"
09-Jul-2016,"$ 10,000 No Limit Hold'em Main Event Championship (Event #68)47th World Series of Poker - WSOP 2016, Las Vegas",157th,"$ 190,105"
05-Jun-2016,"$ 1,500 Dealers Choice 6-Handed (Event #5)47th World Series of Poker - WSOP 2016, Las Vegas",34th,"$ 9,761"
26-Jun-2015,"$ 10,000 Pot Limit Omaha Championship (Event #54)46th World Series of Poker - WSOP 2015, Las Vegas",37th,"$ 81,902"
