Date,Event Name,Placement,Earning
28-Jun-2023,"$ 5,000 No Limit Hold'em - 6-Handed (Bracelet Event 65)54th World Series of Poker - WSOP 2023, Las Vegas",120th,"$ 8,787"
13-Aug-2019,"€ 25,000 + 500 No Limit Hold'em - MILLIONS Super High Rollerpartypoker LIVE - partypoker MILLIONS Europe, Rozvadov",5th,"$ 95,250"
11-Jul-2019,"$ 100,000 No Limit Hold'em - High Roller (Event #83)50th World Series of Poker - WSOP 2019, Las Vegas",11th,"$ 195,862"
08-Jul-2019,"$ 50,000 No Limit Hold'em - High Roller (Event #90)50th World Series of Poker - WSOP 2019, Las Vegas",19th,"$ 75,483"
13-Jan-2019,"$ 25,000 No Limit Hold'em (Event #30)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",3rd,"$ 169,280"
09-Jan-2019,"$ 50,000 No Limit Hold'em (Event #13)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",7th,"$ 152,120"
26-Oct-2018,"€ 95,000 + 5,000 No Limit Hold'em - Super High Roller (Event #9)World Series of Poker Europe - WSOPE 2018, Rozvadov",15th,"$ 167,381"
29-May-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-01, Las Vegas",6th,"$ 76,500"
29-Apr-2018,"€ 50,000 No Limit Hold'em - 8 Handed #17European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 361,007"
09-Jan-2018,"$ 2,000 + 100 #14 No Limit Hold'em - TurboPokerStars Caribbean Adventure - PCA 2018, Paradise Island",2nd,"$ 35,360"
05-Dec-2017,"$ 10,000 + 400 No Limit Hold'em - WPT Main Event ( Event #18 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",44th,"$ 31,506"
19-Nov-2017,"$ 25,000 + 500 No Limit Hold'em - #3 MILLIONS Super High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",6th,"$ 50,000"
07-Nov-2017,"€ 25,000 No Limit Hold'em - Super High RollerWorld Series of Poker Europe - WSOPE 2017, Rozvadov",4th,"$ 78,392"
18-Sep-2017,"$ 100,000 No Limit Hold'em - Event #52017 Poker Masters, Las Vegas",1st,"$ 1,512,000"
14-Sep-2017,"$ 50,000 No Limit Hold'em - Event #22017 Poker Masters, Las Vegas",1st,"$ 900,000"
22-Aug-2017,"€ 25,500 No Limit Hold'em - 8 Handed -#24PokerStars Championship Barcelona, Barcelona",14th,"$ 53,295"
27-Jul-2017,"€ 2,500 + 200 No Limit Hold'em - European Poker ChampionshipPoker EM 2017, Velden",23rd,"$ 7,578"
18-Jul-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Montenegro, Budva",6th,"HK$ 2,446,000"
24-Jun-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 64, Las Vegas",2nd,"$ 313,423"
26-May-2017,"$ 98,000 + 2,000 No Limit Hold'em - Super High RollerAria Super High Roller 19, Las Vegas",2nd,"$ 217,354"
30-Apr-2017,"€ 4,200 No Limit Hold'em -  Turbo Eight Max Super Knockout (Event 34)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",16th,"$ 1,223,264"
28-Jan-2017,"A$ 4,700 + 300 No Limit Hold'em - Six Max (Event #22)2017 Aussie Millions Poker Championship, Melbourne",9th,"$ 3,594"
11-Jan-2017,"A$ 1,025 + 125 No Limit Hold'em - Opening Event (Event #1)2017 Aussie Millions Poker Championship, Melbourne",39th,"A$ 15,650"
27-Oct-2016,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 44, Las Vegas",6th,"$ 11,794"
22-Aug-2016,"€ 5,000 + 300 No Limit Hold'em - EPT Main Event (Event #24)European Poker Tour - EPT Barcelona, Barcelona",137th,"A$ 5,135"
23-Jun-2016,"$ 10,000 No Limit Hold'em 6-Handed  Championship (Event #39)47th World Series of Poker - WSOP 2016, Las Vegas",16th,"$ 3,779"
10-Jun-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 32, Las Vegas",3rd,"$ 45,600"
19-Apr-2016,"$ 25,500 No Limit Hold'em - High Roller #27World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",8th,"$ 11,071"
03-Jun-2015,"$ 1,500 No Limit Hold'em Six Handed (Event #12)46th World Series of Poker - WSOP 2015, Las Vegas",25th,"$ 30,318"
,,,"$ 131,040"
09-Sep-2021,"€ 500 + 50 No Limit Hold'em - Pokercode Main EventPokercode Festival Bratislava 21, Bratislava",10th,"$ 70,500"
09-Aug-2019,"€ 1,000 + 100 No Limit Hold'em - MILLIONS Openpartypoker LIVE - partypoker MILLIONS Europe, Rozvadov",105th,"$ 10,743"
10-Jul-2019,"$ 25,000 No Limit Hold'em - Aria High Roller 30Aria Summer High Rollers, Las Vegas",3rd,
07-May-2019,"HK$ 100,000 Short Deck No Limit Hold'em - Ante Only (Event #3)Triton Poker Super High Roller Series Montenegro, Budva",5th,"$ 2,713"
10-Jan-2019,"$ 100,000 No Limit Hold'em - PCA Super High Roller (Event #18)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",7th,"$ 2,800"
13-Nov-2018,"$ 250,000 No Limit Hold'em - Super High Roller Championshipspartypoker LIVE - partypoker Caribbean Poker Party, Nassau",1st,"$ 84,000"
01-Jun-2018,"$ 100,000 No Limit Hold'em - High Roller (Event #5)49th World Series of Poker - WSOP 2018, Las Vegas",16th,"HK$ 540,000"
15-May-2018,"HK$ 1,000,000 No Limit Hold'em - Triton Super High Roller Main EventTriton Poker Super High Roller Series Montenegro, Budva",5th,"$ 68,811"
12-Jan-2018,"$ 24,700 + 300 #22 No Limit Hold'em - High RollerPokerStars Caribbean Adventure - PCA 2018, Paradise Island",11th,"$ 301,820"
09-Dec-2017,"$ 25,000 No Limit Hold'em - Bellagio High Roller #17 -  ( Event #23 )World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",6th,"$ 3,685,000"
20-Nov-2017,"$ 5,000 + 300 No Limit Hold'em - #4 MILLIONS Main Eventpartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",49th,"$ 155,378"
17-Nov-2017,"$ 10,000 + 300 No Limit Hold'em - #2 MILLIONS High Rollerpartypoker LIVE - partypoker Caribbean Poker Party, Punta Cana",7th,"HK$ 3,793,000"
03-Nov-2017,"€ 111,111 No Limit Hold'em - High Roller for One Drop (Event #10)World Series of Poker Europe - WSOPE 2017, Rozvadov",5th,"$ 483,189"
16-Sep-2017,"$ 50,000 No Limit Hold'em - Event #42017 Poker Masters, Las Vegas",5th,"$ 69,730"
13-Sep-2017,"$ 50,000 No Limit Hold'em - Event #12017 Poker Masters, Las Vegas",4th,"$ 87,000"
12-Aug-2017,"€ 25,000 No Limit Hold'em - GPC Super High Roller 8-Maxpartypoker LIVE - partypoker German Poker Championships, Rozvadov",3rd,"$ 22,500"
26-Jul-2017,"€ 25,000 + 2,000 No Limit Hold'em - Super High RollerPoker EM 2017, Velden",1st,"$ 55,000"
01-Jul-2017,"$ 25,000 No Limit Hold'em - High Roller2017 Bellagio High Roller 13, Las Vegas",1st,"$ 940,135"
31-May-2017,"$ 10,000 No Limit Hold'em - Tag Team Championship (Event #2)48th World Series of Poker - WSOP 2017, Las Vegas",14th,"$ 117,000"
05-May-2017,"€ 5,200 No Limit Hold'em - Turbo Six Max (Event 69)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",3rd,"$ 204,000"
27-Apr-2017,"€ 100,000 No Limit Hold'em -  Super High Roller Eight Max (Event 15)PokerStars Championship presented by Monte-Carlo Casino, Monte Carlo",6th,"$ 135,578"
17-Jan-2017,"A$ 1,025 + 125 No Limit Hold'em - Six Max (Event #6)2017 Aussie Millions Poker Championship, Melbourne",17th,"$ 501,183"
10-Nov-2016,"HK$ 13,500 + 1,500 No Limit Hold'em (Event #12)2016 Asia Championship of Poker (ACOP), Macau",11th,"$ 111,648"
05-Oct-2016,"€ 3,000 + 300 No Limit Hold'em High Roller (Event #7)WSOP International Circuit - WSOPC Berlin, Berlin",2nd,"$ 4,928"
14-Jul-2016,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 37, Las Vegas",4th,"$ 47,989"
14-Jun-2016,"$ 3,000 No Limit Hold'em 6-Handed  (Event #21)47th World Series of Poker - WSOP 2016, Las Vegas",14th,"$ 415,348"
26-Apr-2016,"€ 10,000 + 300 No Limit Hold'em - High Roller #2European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",12th,"A$ 5,395"
30-Jan-2016,"A$ 4,700 + 300 No Limit Holdem Six Max (Event #21)2016 Aussie Millions Poker Championship, Melbourne",11th,"$ 4,034"
