Date,Event Name,Placement,Earning
10-Aug-2023,"$ 25,000 + 1,500 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series London, London",3rd,"$ 123,800"
05-Aug-2023,"$ 125,000 + 7,500 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series London, London",5th,"$ 1,260,000"
02-Aug-2023,"$ 20,000 + 1,200 + 10,000 No Limit Hold'em - Turbo Bounty (Event #8)Triton Poker Super High Roller Series London, London",14th,"$ 32,600"
14-Jul-2023,"$ 10,000 No Limit Hold'em - 6-Handed Championship (Bracelet Event 90)54th World Series of Poker - WSOP 2023, Las Vegas",2nd,"$ 653,688"
03-Jul-2023,"$ 10,000 No Limit Hold'em - WSOP Main Event  (Bracelet Event 76)54th World Series of Poker - WSOP 2023, Las Vegas",607th,"$ 30,000"
27-Jun-2023,"$ 3,185 + 315 No Limit Hold'emThe Wynn Summer Classic, Las Vegas",166th,"$ 9,800"
14-Jun-2023,"$ 7,000 + 3,000 No Limit Hold'em - Secret Bounty (Bracelet Event 35)54th World Series of Poker - WSOP 2023, Las Vegas",85th,"$ 10,858"
25-May-2023,"$ 20,000 No Limit Short Deck Hold'em - Ante Only (Event #17)Triton Poker Super High Roller Series Cyprus, Kyrenia",5th,"$ 55,100"
20-May-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #11)Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 358,500"
11-May-2023,"$ 20,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",3rd,"$ 298,000"
10-Mar-2023,"$ 25,000 No Limit Short Deck Hold'em - Ante Only (Event #11)Triton Poker Super High Roller Series Vietnam, Hoi An",2nd,"$ 310,000"
05-Mar-2023,"$ 50,000 No Limit Hold'em - 8-Handed (Event #6)Triton Poker Super High Roller Series Vietnam, Hoi An",19th,"$ 90,400"
02-Mar-2023,"$ 15,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Vietnam, Hoi An",22nd,"$ 30,000"
23-Feb-2023,"€ 25,000 No Limit Hold'em (Event #25)European Poker Tour - EPT Paris, Paris",1st,"$ 293,796"
15-Feb-2023,"€ 5,200 + 5,000 No Limit Hold'em - Mystery Bounty (Event #3)European Poker Tour - EPT Paris, Paris",14th,"$ 8,938"
10-Dec-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #33PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",3rd,"$ 30,400"
18-Oct-2022,"$ 25,000 No Limit Hold'em - Bellagio High Roller #11 (Event #24)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 68,000"
14-Oct-2022,"$ 10,000 No Limit Hold'em - Bellagio High Roller #7 (Event #14)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,"$ 54,000"
04-Oct-2022,"$ 25,000 No Limit Hold'em - Aria High Roller #22PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",2nd,"$ 161,000"
11-Sep-2022,"$ 25,000 Pot Limit Omaha (Event #7)Triton Poker Super High Roller Series Cyprus, Kyrenia",4th,"$ 92,000"
03-Sep-2022,"$ 10,000 + 400 No Limit Hold'em - MPP High Roller (Event #19)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",4th,"$ 100,000"
15-Aug-2022,"€ 5,300 No Limit Hold'em - EPT Barcelona Main Event (Event #29)European Poker Tour - EPT Barcelona, Barcelona",183rd,"$ 13,777"
17-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #18PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",1st,"$ 84,640"
11-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #16PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",4th,"$ 27,000"
07-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #12PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",9th,"$ 17,100"
02-Jul-2022,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Event #69)53rd World Series of Poker - WSOP 2022, Las Vegas",96th,"$ 16,047"
09-Jun-2022,"$ 25,000 Pot Limit Omaha High Roller 8-Handed (Event #19)53rd World Series of Poker - WSOP 2022, Las Vegas",29th,"$ 44,253"
21-May-2022,"€ 50,000 No Limit Hold'em - 8-Handed Turbo (Event #10)Triton Poker Series Madrid, Madrid",3rd,"$ 293,062"
07-May-2022,"€ 5,200 No Limit Hold'em - 6-Handed (Event 47)European Poker Tour - EPT Monte Carlo, Monte Carlo",1st,"$ 84,807"
14-Apr-2022,"$ 50,000 No Limit Hold'em - SHRS Europe #8Super High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",6th,"$ 95,000"
02-Apr-2022,"$ 50,000 No Limit Hold'em - Triton Cyprus #1Triton Poker Cyprus - Special Edition, Kyrenia",7th,"$ 188,000"
22-Mar-2022,"$ 15,000 No Limit Hold'em - US Poker Open #7PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",3rd,"$ 136,500"
16-Mar-2022,"€ 5,000 + 200 No Limit Hold'em - 6 Handed (Event #56)European Poker Tour - EPT Prague, Prague",1st,"$ 87,335"
07-Feb-2022,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2022 PGT PokerGO Cup, Las Vegas",4th,"$ 96,250"
16-Jan-2022,"$ 15,000 + 400 No Limit Hold'em - Stairway to Millions #5PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",5th,"$ 51,600"
15-Nov-2021,"$ 10,000 No Limit Hold'em - Super Turbo Bounty (Event #76)52nd World Series of Poker - WSOP 2021, Las Vegas",3rd,"$ 200,598"
04-Nov-2021,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #67)52nd World Series of Poker - WSOP 2021, Las Vegas",89th,"$ 68,900"
14-Oct-2021,"$ 10,000 No Limit Hold'em - Short Deck (Event #29)52nd World Series of Poker - WSOP 2021, Las Vegas",8th,"$ 20,583"
09-Oct-2021,"$ 10,000 Seven Card Stud - Championship (Event #19)52nd World Series of Poker - WSOP 2021, Las Vegas",6th,"$ 30,842"
15-Sep-2021,"$ 25,000 Pot Limit Omaha - Poker Masters #9PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",6th,"$ 64,500"
12-Sep-2021,"$ 10,000 8-Game Mix - Poker Masters #6PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 48,000"
23-Aug-2021,"$ 25,000 No Limit Short Deck Hold'em - SHRB Europe Event 01Merit Poker presents Super High Roller Bowl Europe (SHRB), Kyrenia",2nd,"$ 264,000"
10-Jul-2021,"$ 25,000 No Limit Hold'em - PokerGO Cup #5PokerGO Tour - 2021 PGT PokerGO Cup, Las Vegas",4th,"$ 99,000"
02-Jul-2021,"$ 4,625 + 375 No Limit Hold'em - WPT Venetian (Event #88)DeepStack Championship Poker Series (MSPT, WPT, WPTDS, PokerGO Tour), Las Vegas",79th,"$ 12,310"
14-Jun-2021,"$ 50,000 No Limit Hold'em - U.S. Poker Open #12PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",2nd,"$ 504,000"
03-Jun-2021,"$ 10,000 No Limit Hold'em - U.S. Poker Open #1PokerGO Tour - 2021 PGT U.S. Poker Open, Las Vegas",4th,"$ 95,000"
28-Jan-2021,"$ 5,000 + 200 No Limit Hold'em - 6 Max High RollerWorld Poker Tour - WPT Montreal Online, Online",2nd,"$ 49,736"
17-Jan-2021,"$ 3,000 + 200 No Limit Hold'em - WPT Montreal Main EventWorld Poker Tour - WPT Montreal Online, Online",127th,"$ 6,394"
23-Aug-2020,"$ 25,000 NLH POKER PLAYERS CHAMPIONSHIP, $10M GTD (Event #70)World Series of Poker - WSOP Online 2020 at GGPoker, Online",19th,"$ 85,446"
16-Aug-2020,"$ 500 No Limit Hold'em Mini Main Event (Event #63)World Series of Poker - WSOP Online 2020 at GGPoker, Online",1326th,"$ 1,444"
12-Aug-2020,"$ 2,500 Double Stack No Limit Hold'em (Event #59)World Series of Poker - WSOP Online 2020 at GGPoker, Online",38th,"$ 8,779"
27-Jun-2020,"$ 10,000 + 300 Pot Limit Omaha - High Roller  (Event #13 ONLINE)Poker Masters Online Pot Limit Omaha Series, Online",4th,"$ 45,000"
15-Mar-2020,"$ 50,000 No Limit Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",3rd,"$ 248,000"
31-Jan-2020,"A$ 100,000 No Limit Hold'em (Event #7)Australian Poker Open, Gold Coast",4th,"A$ 280,000"
27-Jan-2020,"A$ 25,000 No Limit Hold'em (Event #3)Australian Poker Open, Gold Coast",2nd,"$ 187,459"
19-Dec-2019,"$ 25,000 No Limit Hold'em - Bellagio High Roller (Event #26)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",5th,"A$ 269,500"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",79th,"$ 182,721"
21-Nov-2019,"$ 10,000 + 300 No Limit Hold'em - MILLIONS  High Roller Finalepartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",7th,"$ 76,000"
08-Nov-2019,"$ 10,000 Big Bet Mix - Poker Masters #5 $10K Big Bet Mix2019 Poker Masters, Las Vegas",5th,"$ 13,483"
08-Sep-2019,"£ 25,000 + 1,000 Pot Limit Omaha - BPO Event #72019 British Poker Open (BPO), London",1st,"$ 75,000"
04-Sep-2019,"£ 10,000 + 500 No Limit Hold'em - BPO Event #32019 British Poker Open (BPO), London",7th,"$ 41,600"
09-Aug-2019,"£ 100,000 No Limit Hold'em - Short Deck Ante Only ""Les Ambassadeurs Private Event"" Triton Poker Super High Roller Series London, London",7th,"$ 249,038"
06-Aug-2019,"£ 100,000 No Limit Hold'em - Short Deck Main Event (Event #7)Triton Poker Super High Roller Series London, London",9th,"$ 27,715"
01-Aug-2019,"£ 1,050,000 No Limit Hold'em - Triton Million for Charity (Event #2) Triton Poker Super High Roller Series London, London",4th,"$ 382,727"
15-Jul-2019,"$ 5,000 No Limit Hold'em (Event #89)50th World Series of Poker - WSOP 2019, Las Vegas",69th,"$ 328,036"
26-Jun-2019,"$ 10,000 No Limit Hold'em - Aria High Roller 22Aria Summer High Rollers, Las Vegas",2nd,"$ 5,368,947"
08-Mar-2019,"HK$ 1,000,000 No Limit Hold'em - Triton Refresh (Event #7)Triton Poker Super High Roller Series Jeju, Jeju",2nd,"$ 8,401"
16-Feb-2019,"$ 10,000 No Limit Hold'em - USPO #04 10K Short Deck Poker (Event #4)2019 US Poker Open, Las Vegas",6th,"$ 93,600"
13-Feb-2019,"$ 10,000 No Limit Hold'em - USPO #01 10K NLH (Event #1)2019 US Poker Open, Las Vegas",1st,"HK$ 8,859,840"
10-Jan-2019,"$ 100,000 No Limit Hold'em - PCA Super High Roller (Event #18)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",8th,"$ 1,128,685"
17-Dec-2018,"$ 300,000 No Limit Hold'emSuper High Roller Bowl, Las Vegas",3rd,"$ 25,200"
10-Nov-2018,"$ 5,000 + 300 No Limit Hold'em - Caribbean Poker Party Main Eventpartypoker LIVE - partypoker Caribbean Poker Party, Nassau",126th,"$ 216,000"
01-Nov-2018,"$ 10,000 + 500 No Limit Hold'emFall Madness, Las Vegas",2nd,"$ 236,720"
02-Sep-2018,"€ 5,200 No Limit Hold'em - Turbo (Event #34)European Poker Tour - EPT Barcelona, Barcelona",6th,"$ 1,512,000"
14-Aug-2018,"$ 10,000 No Limit Hold'em (Event #25)2018 Seminole Hard Rock Poker Open, Hollywood",9th,"$ 12,500"
14-Jul-2018,"$ 5,000 + 225 No Limit Hold'em - CPPT #126DeepStack Championship Poker Series, Las Vegas",4th,"$ 85,800"
