Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",17th,"$ 100,000"
21-Jul-2023,"KRW 168,000,000 + 2,000,000 No Limit Hold'em - WPT Alpha8 One Drop Korea (Event #10)World Poker Tour - WPT Korea, Jeju",1st,"$ 1,006,537"
20-Jun-2023,"NT$ 9,900 + 1,100 No Limit Hold'em - Main Event (Event #13)Poker Dream Taiwan, Taipei City",72nd,"NT$ 62,000"
14-May-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #6)Triton Poker Super High Roller Series Cyprus, Kyrenia",15th,"$ 2,014"
04-May-2023,"€ 25,000 No Limit Hold'em - EPT High Roller (Event 42)European Poker Tour - EPT Monte Carlo, Monte Carlo",4th,"$ 88,400"
06-Mar-2023,"$ 75,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series Vietnam, Hoi An",3rd,"$ 405,956"
02-Mar-2023,"$ 15,000 No Limit Hold'em - 7-Handed (Event #2)Triton Poker Super High Roller Series Vietnam, Hoi An",20th,"$ 816,000"
22-Feb-2023,"€ 25,000 No Limit Hold'em (Event #22)European Poker Tour - EPT Paris, Paris",3rd,"$ 32,500"
02-Feb-2023,"$ 100,000 No Limit Hold'em - 7-Handed (Event #66)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",4th,"$ 143,832"
12-Jan-2023,"RM 4,500 + 500 No Limit Hold'em - Main Event (Event #8)Poker Dream Malaysia 2023, Kuala Lumpur",20th,"$ 518,500"
16-Dec-2022,"€ 10,000 + 300 No Limit Hold'em - EPT Prague High Roller (Event #44)European Poker Tour - EPT Prague, Prague",11th,"$ 4,996"
13-Dec-2022,"€ 24,500 + 500 No Limit Hold'em (Event #27)European Poker Tour - EPT Prague, Prague",2nd,"$ 58,516"
24-Oct-2022,"£ 1,716 + 284 No Limit Hold'em - Platinum Pass Mystery Bounty (Event #30)European Poker Tour - EPT London, London",24th,"$ 159,021"
20-Oct-2022,"£ 24,010 + 990 No Limit Hold'em (Event #10)European Poker Tour - EPT London, London",3rd,"$ 6,164"
03-Sep-2022,"$ 10,000 + 400 No Limit Hold'em - MPP High Roller (Event #19)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",14th,"$ 131,458"
22-Aug-2022,"$ 1,000 + 100 No Limit Hold'em - EAPT Event (Event #2)Luxon Pay Mediterranean Poker Party (MPP), Kyrenia",30th,"$ 25,000"
12-Aug-2022,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Barcelona, Barcelona",6th,"$ 3,500"
28-Jul-2022,"RM 4,500 + 500 No Limit Hold'em - Main Event (Event #14)Poker Dream Malaysia 2022, Kuala Lumpur",17th,"$ 120,612"
08-Jun-2022,"€ 2,950 + 350 No Limit Hold'em - MILLIONS Europe Main Event (Event 4)partypoker MILLIONS Europe, Barcelona",1st,"$ 5,497"
