Date,Event Name,Placement,Earning
03-Aug-2023,"$ 250,000 + 12,500 No Limit Hold'em - Luxon Invitational (Event #9) Triton Poker Super High Roller Series London, London",2nd,"$ 4,650,000"
13-Jun-2023,"$ 10,000 Razz Championship (Bracelet Event 33)54th World Series of Poker - WSOP 2023, Las Vegas",5th,"$ 73,495"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",1st,"$ 3,250,000"
03-Feb-2023,"$ 970 + 80 No Limit Hold'em - Last Chance Super Hyper Turbo Freezeout (Event #70)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",3rd,"$ 9,250"
04-Oct-2022,"$ 25,000 No Limit Hold'em - Aria High Roller #22PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",1st,"$ 264,500"
11-Sep-2022,"$ 25,000 Pot Limit Omaha (Event #7)Triton Poker Super High Roller Series Cyprus, Kyrenia",2nd,"$ 190,000"
03-Jul-2022,"$ 10,000 No Limit Hold'em - WSOP Main Event (Event #70)53rd World Series of Poker - WSOP 2022, Las Vegas",298th,"$ 40,900"
17-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #11 (ONLINE)Poker Masters Online, Online",11th,"$ 25,754"
02-Aug-2019,"£ 50,000 No Limit Hold'em - 8 Handed (Event #3)Triton Poker Super High Roller Series London, London",10th,"$ 130,355"
24-Jun-2019,"$ 50,000 Poker Players Championship (Event #58)50th World Series of Poker - WSOP 2019, Las Vegas",11th,"$ 72,078"
06-Jan-2019,"$ 25,000 No Limit Hold'em - PSPC PokerStars Players Championship (Event #2)PokerStars Caribbean Adventure - PCA 2019, Paradise Island",8th,"$ 509,000"
15-Dec-2018,"$ 100,000 No Limit Hold'em - Bellagio 100K - 01 (Event #30)World Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",6th,"$ 222,000"
05-Jul-2018,"$ 25,000 + 1,000 No Limit Hold'em - High RollerAria 25K-13, Las Vegas",3rd,"$ 120,000"
11-Jul-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 68, Las Vegas",1st,"$ 386,400"
02-Jul-2017,"$ 50,000 Poker Players Championship - 6 Handed (Event #62)48th World Series of Poker - WSOP 2017, Las Vegas",13th,"$ 77,320"
10-Dec-2016,"$ 100,000 No Limit Hold'em #23 Super High RollerWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",3rd,"$ 521,360"
01-Jul-2016,"$ 24,000 + 1,000 No Limit Hold'em - High Roller 7Bellagio High Roller VII, Las Vegas",5th,"$ 105,840"
13-Jan-2016,"$ 5,300 #91 No Limit Hold'em - 8-Handed TurboPokerStars Caribbean Adventure - PCA 2016, Paradise Island",1st,"$ 90,800"
05-Jul-2015,"$ 10,000 No Limit Hold'em Main Event (Event #68)46th World Series of Poker - WSOP 2015, Las Vegas",830th,"$ 15,000"
28-Jun-2015,"$ 111,111 No Limit Hold'em High Roller for One-Drop (Event #58)46th World Series of Poker - WSOP 2015, Las Vegas",13th,"$ 289,273"
01-May-2015,"€ 500 + 50 Limit Razz - 8 Handed (Event #20)European Poker Tour - EPT Monte Carlo Grand Final, Monte Carlo",4th,"$ 1,367"
