Date,Event Name,Placement,Earning
16-Jul-2023,"$ 777 No Limit Hold'em - Lucky 7's (Online Bracelet Event 20) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",34th,"$ 4,678"
11-Jul-2023,"$ 1,000 No Limit Hold'em - 6-Max Championship (Online Bracelet Event 17) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",1st,"$ 195,963"
03-Jul-2023,"$ 5,300 No Limit Hold'em - High Roller Championship (Online Bracelet Event 13) (NV/NJ)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",26th,"$ 12,240"
20-Jun-2023,"$ 3,200 No Limit Hold'em - High Roller (Online Bracelet Event 8) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",9th,"$ 22,493"
15-Dec-2021,"$ 10,000 + 400 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",72nd,"$ 21,045"
01-Jul-2021,"$ 500 No Limit Hold'em - The Big 500 Kickoff ONLINE (WSOP Event #1)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",130th,$ 862
19-Jun-2021,"$ 195 + 45 No Limit Hold'em - Daily Event2021 Aria Resort & Casino Recurring Tournaments, Las Vegas",10th,$ 504
20-Jul-2020,"$ 500 Pot Limit Omaha - 6-Handed (Event #20)World Series of Poker - WSOP Online 2020 at WSOP.com, Online",12th,"$ 5,935"
09-Aug-2019,"$ 5,250 No Limit Hold'em - SHRPO Championship (Event #20)Seminole Hard Rock Poker Open, Hollywood",24th,"$ 26,210"
17-Jun-2019,"$ 1,500 Pot Limit Omaha (Event #40)50th World Series of Poker - WSOP 2019, Las Vegas",38th,"$ 6,020"
09-Jun-2019,"$ 600 Pot Limit Omaha - WSOP.com Online PLO 6-Handed (Event #24)50th World Series of Poker - WSOP 2019, Las Vegas",26th,"$ 3,809"
18-Feb-2019,"$ 25,000 Pot Limit Omaha - USPO #06 25K PLO (Event #6)2019 US Poker Open, Las Vegas",3rd,"$ 156,000"
13-Aug-2018,"$ 25,500 No Limit Hold'em - High Roller (Event #22)2018 Seminole Hard Rock Poker Open, Hollywood",3rd,"$ 371,183"
20-Jun-2018,"$ 25,000 Pot Limit Omaha - High Roller (Event #42)49th World Series of Poker - WSOP 2018, Las Vegas",29th,"$ 41,049"
04-May-2018,"$ 25,000 + 500 No Limit Hold'em - WPT High RollerWorld Poker Tour - WPT Bellagio Elite Poker Championship, Las Vegas",1st,"$ 432,000"
24-Nov-2017,"$ 3,500 No Limit Hold'em - Championship ( Event #9 )2017 Rock ‘n' Roll Poker Open, Hollywood",6th,"$ 75,380"
26-Oct-2017,"$ 10,000 + 500 No Limit Hold'em - High RollerAria 10K 4, Las Vegas",1st,"$ 116,000"
14-Aug-2017,"$ 25,500 No Limit Hold'em - High Roller (Event #13)2017 Seminole Hard Rock Poker Open, Hollywood",5th,"$ 155,025"
03-Jul-2017,"$ 1,500 No Limit Hold'em/Pot Limit Omaha - 8 Handed (Event #64)48th World Series of Poker - WSOP 2017, Las Vegas",78th,"$ 2,914"
16-Jun-2017,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 62, Las Vegas",5th,"$ 50,400"
06-Mar-2017,"$ 7,150 + 350 WPT Shooting Star Main EventWorld Poker Tour - WPT Bay 101 Shooting Star, San Jose",72nd,"$ 15,300"
10-Dec-2016,"$ 100,000 No Limit Hold'em #23 Super High RollerWorld Poker Tour - WPT Five Diamond World Poker Classic, Las Vegas",2nd,"$ 1,018,566"
17-Nov-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 45, Las Vegas",3rd,"$ 134,400"
27-Oct-2016,"$ 24,000 + 1,000 No Limit Hold'em - High RollerAria High Roller 44, Las Vegas",5th,"$ 54,720"
09-Sep-2016,"$ 24,000 + 1,000 No Limit Hold'emAria High Roller 40, Las Vegas",3rd,"$ 60,480"
13-Aug-2016,"$ 5,250 No Limit Hold'em - SHRPO Championship (Event #22)2016 Seminole Hard Rock Poker Open, Hollywood",23rd,"$ 30,000"
05-Jul-2016,"$ 5,000 No Limit Hold'em (Event #59)47th World Series of Poker - WSOP 2016, Las Vegas",53rd,"$ 13,514"
16-Jun-2016,"$ 2,500 No Limit Hold'em (Event #25)47th World Series of Poker - WSOP 2016, Las Vegas",122nd,"$ 3,987"
