Date,Event Name,Placement,Earning
07-Aug-2023,"$ 60,000 + 3,600 No Limit Hold'em - 8-Handed (Event #13)Triton Poker Super High Roller Series London, London",10th,"$ 130,400"
01-Aug-2023,"$ 200,000 + 12,000 No Limit Hold'em - 8-Handed (Event #7)Triton Poker Super High Roller Series London, London",4th,"$ 1,550,000"
13-May-2023,"$ 40,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series Cyprus, Kyrenia",15th,"$ 82,500"
08-Mar-2023,"$ 100,000 No Limit Hold'em - Main Event (Event #9)Triton Poker Super High Roller Series Vietnam, Hoi An",6th,"$ 756,000"
24-Feb-2023,"€ 10,300 No Limit Hold'em - EPT Paris High Roller (Event #29)European Poker Tour - EPT Paris, Paris",23rd,"$ 34,789"
25-Jan-2023,"$ 50,000 No Limit Hold'em - 7-Handed (Event #19)PokerStars Caribbean Adventure - PCA & PSPC 2023, Nassau",4th,"$ 165,950"
12-Dec-2022,"€ 5,000 + 300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",18th,"$ 38,084"
10-Nov-2022,"€ 50,000 No Limit Hold'em - Diamond High Roller (Bracelet Event #11)World Series of Poker Europe - WSOPE 2022, Rozvadov",5th,"$ 160,616"
07-Nov-2022,"€ 25,000 No Limit Hold'em - Platinum High Roller (Bracelet Event #8)World Series of Poker Europe - WSOPE 2022, Rozvadov",11th,"$ 40,021"
21-Aug-2022,"€ 10,200 No Limit Hold'em - 6-Handed (Event #60)European Poker Tour - EPT Barcelona, Barcelona",4th,"$ 64,297"
14-Aug-2022,"€ 100,000 No Limit Hold'em - EPT Super High Roller (Event #27)European Poker Tour - EPT Barcelona, Barcelona",5th,"$ 555,216"
07-May-2022,"€ 5,200 No Limit Hold'em - 6-Handed (Event 47)European Poker Tour - EPT Monte Carlo, Monte Carlo",7th,"$ 13,705"
02-May-2022,"€ 5,300 No Limit Hold'em - EPT Monte Carlo Main Event (Event 21)European Poker Tour - EPT Monte Carlo, Monte Carlo",157th,"$ 9,141"
13-Apr-2022,"$ 250,000 No Limit Hold'em - Super High Roller Bowl EuropeSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",4th,"$ 880,000"
11-Apr-2022,"$ 25,000 No Limit Hold'em - 25K TurboSuper High Roller Series - SHRS Europe presented by Luxon Pay, Kyrenia",1st,"$ 310,000"
09-Mar-2022,"€ 49,000 + 1,000 No Limit Hold'em - Super High Roller (Event #17)European Poker Tour - EPT Prague, Prague",1st,"$ 815,811"
24-Jan-2021,"$ 5,000 + 200 No Limit Hold'em - High Roller TurboWorld Poker Tour - WPT Montreal Online, Online",11th,"$ 10,847"
02-Sep-2020,"$ 600 No Limit Hold'em - 6 Handed People's Choice Event [Pros Vote] (Event #80)World Series of Poker - WSOP Online 2020 at GGPoker, Online",85th,"$ 2,071"
23-Aug-2020,"$ 25,000 NLH POKER PLAYERS CHAMPIONSHIP, $10M GTD (Event #70)World Series of Poker - WSOP Online 2020 at GGPoker, Online",39th,"$ 70,150"
22-Aug-2020,"$ 3,000 + 200 WPT World Championship Mix-Max - Online (Event #6)World Poker Tour - WPT Online World Championship by partypoker, Online",23rd,"$ 19,200"
31-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #26)Super High Roller Bowl Online, Online",5th,"$ 116,000"
29-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #20)Super High Roller Bowl Online, Online",5th,"$ 73,500"
28-May-2020,"$ 10,000 + 300 No Limit Hold'em - High Roller (Event #16)Super High Roller Bowl Online, Online",4th,"$ 65,625"
23-May-2020,"$ 25,000 + 500 No Limit Hold'em - Super High Roller (Event #2)Super High Roller Bowl Online, Online",7th,"$ 57,375"
06-May-2020,"$ 10,000 + 300 No Limit Hold'em - High RollerWorld Poker Tour - WPT Online Championship by partypoker, Online",6th,"$ 52,500"
24-Apr-2020,"$ 25,000 + 500 No Limit Hold'em - Poker Masters #25 (ONLINE)Poker Masters Online, Online",5th,"$ 112,000"
22-Apr-2020,"$ 25,000 + 500 No Limit Hold'em - Poker Masters #21 (ONLINE)Poker Masters Online, Online",3rd,"$ 228,375"
18-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #13 (ONLINE)Poker Masters Online, Online",2nd,"$ 153,000"
16-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - 6 Max - Poker Masters #09 (ONLINE)Poker Masters Online, Online",9th,"$ 25,350"
15-Apr-2020,"$ 10,000 + 300 No Limit Hold'em - Poker Masters #07 (ONLINE)Poker Masters Online, Online",11th,"$ 23,562"
13-Mar-2020,"$ 250,000 No Limit Hold'em - Super High Roller Bowlpartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",1st,"$ 3,600,000"
02-Feb-2020,"A$ 250,000 No Limit Hold'em - Super High Roller Bowl AustraliaSuper High Roller Bowl Australia, Gold Coast",1st,"A$ 2,160,000"
22-Jan-2020,"A$ 98,000 + 2,000 No Limit Hold'em - 100K Challenge (Event #23)2020 Aussie Millions Poker Championship, Melbourne",7th,"$ 1,446,112"
17-Dec-2019,"€ 5,200 No Limit Hold'em - 6-Handed (Event #48)European Poker Tour - EPT Prague, Prague",1st,"A$ 317,250"
11-Dec-2019,"€ 5,300 No Limit Hold'em - EPT Prague Main Event (Event #20)European Poker Tour - EPT Prague, Prague",82nd,"$ 217,572"
20-Oct-2019,"€ 25,500 No Limit Hold'em - Platinum High Roller (Event #8)World Series of Poker Europe - WSOPE 2019, Rozvadov",5th,"$ 64,298"
01-Sep-2019,"€ 10,200 No Limit Hold'em - Six Handed (Event #49)European Poker Tour - EPT Barcelona, Barcelona",1st,"$ 13,483"
26-Aug-2019,"€ 5,300 No Limit Hold'em - EPT Main Event (Event #22)European Poker Tour - EPT Barcelona, Barcelona",43rd,"$ 143,408"
