Date,Event Name,Placement,Earning
09-Aug-2023,"$ 60,000 + 3,000 No Limit Short Deck Hold'em - Main Event (Event #16)Triton Poker Super High Roller Series London, London",6th,"$ 176,700"
06-Aug-2023,"$ 60,000 + 2,400 No Limit Hold'em - Turbo (Event #12)Triton Poker Super High Roller Series London, London",8th,"$ 137,200"
18-May-2023,"$ 200,000 + 10,000 No Limit Hold'em - Luxon Invitational Powered by Triton Poker Series (Event #9) Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 636,000"
06-Sep-2022,"$ 30,000 No Limit Hold'em - 6-Handed (Event #2)Triton Poker Super High Roller Series Cyprus, Kyrenia",8th,"$ 123,500"
10-Mar-2020,"$ 51,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",1st,"$ 800,000"
06-Aug-2019,"£ 100,000 No Limit Hold'em - Short Deck Main Event (Event #7)Triton Poker Super High Roller Series London, London",2nd,"$ 2,232,740"
14-May-2019,"HK$ 250,000 Short Deck No Limit Hold'em - Ante Only (Event #6)Triton Poker Super High Roller Series Montenegro, Budva",3rd,"HK$ 2,150,000"
02-Dec-2018,"KRW 14,100,000 + 900,000 No Limit Hold'em - Short Deck (Event #6)Jeju Red Dragon 2018, Jeju",6th,"$ 273,924"
12-May-2018,"HK$ 250,000 No Limit Hold'em - Short Deck Ante Only 250KTriton Poker Super High Roller Series Montenegro, Budva",8th,"$ 45,041"
04-Nov-2016,"HK$ 490,000 + 10,000 No Limit Hold'em Main EventTriton Poker Super High Roller Series Philippines, Paranaque City",1st,"HK$ 488,000"
14-Jun-2014,"$ 10,000 No Limit Hold'em - Six Handed (Event #32)45th World Series of Poker - WSOP 2014, Las Vegas",30th,"$ 62,165"
14-Oct-2013,"€ 5,000 + 300 No Limit Hold'em - Mixed Max (Event #2)World Series of Poker Europe - WSOPE 2013, Enghien-les-Bains",14th,"HK$ 16,135,550"
02-Jun-2011,"HK$ 11,000 No Limit Hold'em - Red Dragon EventMacau Poker Cup - May Special, Macau",9th,"$ 2,080,556"
,,,"$ 17,793"
08-Aug-2023,"$ 30,000 + 1,800 No Limit Short Deck Hold'em - Ante Only (Event #15)Triton Poker Super High Roller Series London, London",1st,"$ 20,147"
30-Jul-2023,"$ 50,000 + 3,000 No Limit Hold'em - 8-Handed (Event #5)Triton Poker Super High Roller Series London, London",21st,"HK$ 91,600"
07-Mar-2023,"$ 25,000 No Limit Hold'em - Turbo (Event #8)Triton Poker Super High Roller Series Vietnam, Hoi An",14th,"$ 11,769"
19-May-2022,"€ 50,000 No Limit Short Deck Hold'em Ante Only (Event #8)Triton Poker Series Madrid, Madrid",5th,
12-Aug-2019,"€ 100,000 No Limit Hold'em - Triton 100K Super High Rollerpartypoker LIVE - partypoker MILLIONS Europe, Rozvadov",4th,"$ 350,000"
04-Aug-2019,"£ 100,000 No Limit Hold'em - Triton London Main Event (Event #5)Triton Poker Super High Roller Series London, London",1st,"$ 36,500"
05-Mar-2019,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante Only (Event #5)Triton Poker Super High Roller Series Jeju, Jeju",8th,"$ 44,200"
30-Nov-2018,"KRW 57,000,000 + 3,000,000 No Limit Hold'em - Super High Roller  (Event #2)Jeju Red Dragon 2018, Jeju",5th,"$ 246,262"
19-Feb-2017,"HK$ 970,000 + 30,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Philippines, Paranaque City",6th,"$ 391,084"
09-Sep-2016,"HK$ 490,000 No Limit Hold'em - Super High RollerTriton Poker Super High Roller Series Manila, Manila",1st,"$ 3,154,064"
18-Dec-2013,"$ 48,000 + 2,000 No Limit Hold'em High Roller Day 1World Poker Tour - WPT South Korea, Jeju",4th,"HK$ 2,900,000"
06-Oct-2013,"£ 5,000 + 250 No Limit Hold'em - Main EventEuropean Poker Tour - EPT London, London",44th,"$ 369,450"
