Date,Event Name,Placement,Earning
18-Oct-2022,"₫ 218,500,000 + 11,500,000 No Limit Hold'em - Super High RollerPoker Dream Vietnam 2022, Hoi An",10th,"$ 17,378"
06-Mar-2020,"$ 25,500 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",5th,"$ 84,000"
22-Nov-2019,"$ 25,000 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",1st,"$ 205,000"
04-Aug-2019,"£ 100,000 No Limit Hold'em - Triton London Main Event (Event #5)Triton Poker Super High Roller Series London, London",9th,"$ 371,181"
31-Jul-2019,"£ 25,000 No Limit Hold'em - 6 Handed Turbo (Event #1)Triton Poker Super High Roller Series London, London",14th,"$ 55,150"
12-May-2019,"HK$ 200,000 Pot Limit Omaha (Event #8)Triton Poker Super High Roller Series Montenegro, Budva",5th,"HK$ 660,000"
30-Apr-2019,"€ 50,000 No Limit Hold'em (Event #20)European Poker Tour - EPT Monte Carlo, Monte Carlo",3rd,"$ 84,096"
03-Mar-2019,"HK$ 500,000 No Limit Hold'em - Short Deck Ante Only (Event #2)Triton Poker Super High Roller Series Jeju, Jeju",6th,"$ 439,827"
21-Oct-2018,"€ 1,500 + 150 Pot Limit Omaha / No Limit Hold'em Mixed (Event #6)World Series of Poker Europe - WSOPE 2018, Rozvadov",25th,"HK$ 2,075,000"
26-Aug-2018,"€ 2,200 No Limit Hold'em - EPT National High Roller (Event #11)European Poker Tour - EPT Barcelona, Barcelona",196th,"$ 264,388"
30-Jul-2018,"HK$ 2,000,000 No Limit Hold'em - Triton Poker Super High Roller Series Main EventTriton Poker Super High Roller Series Jeju, Jeju",2nd,"$ 2,953"
15-May-2018,"HK$ 1,000,000 No Limit Hold'em - Triton Super High Roller Main EventTriton Poker Super High Roller Series Montenegro, Budva",4th,"$ 4,276"
18-Jul-2017,"HK$ 960,000 + 40,000 No Limit Hold'em - Main EventTriton Poker Super High Roller Series Montenegro, Budva",5th,"HK$ 25,520,000"
27-May-2015,"HK$ 23,000 + 2,000 No Limit Hold'em - Main Event - Event #8Asia Pacific Poker Tour - APPT Macau, Macau",33rd,"$ 3,252,348"
08-Aug-2014,"HK$ 11,000 No Limit Hold'em - Red DragonMacau Poker Cup, Macau",9th,"HK$ 5,512,000"
23-Nov-2011,"HK$ 4,500 + 500 No Limit Hold'em - KO BountyAsia Pacific Poker Tour - APPT Macau, Macau",8th,"$ 702,172"
04-Nov-2010,"HK$ 4,000 No Limit Hold'emMacau Poker Cup Championship, Macau",6th,"HK$ 3,180,000"
,,,"$ 407,476"
08-Mar-2020,"$ 25,500 No Limit Short Deck Hold'empartypoker LIVE - partypoker MILLIONS Sochi Super High Roller Series, Sochi",1st,"HK$ 59,950"
23-Nov-2019,"$ 25,000 No Limit Hold'em - Super High Roller Finalepartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",1st,"$ 7,732"
16-Nov-2019,"$ 250,000 No Limit Hold'em - Super High Roller Bowlpartypoker LIVE - partypoker MILLIONS World Bahamas, Nassau",2nd,"HK$ 135,600"
01-Aug-2019,"£ 1,050,000 No Limit Hold'em - Triton Million for Charity (Event #2) Triton Poker Super High Roller Series London, London",9th,"$ 17,496"
13-May-2019,"HK$ 200,000 Short Deck No Limit Hold'em - Ante Only Turbo (Event #7)Triton Poker Super High Roller Series Montenegro, Budva",5th,"HK$ 15,300"
01-May-2019,"€ 5,200 Pot Limit Omaha - High Roller  (Event #24)European Poker Tour - EPT Monte Carlo, Monte Carlo",4th,"$ 1,966"
29-Apr-2019,"€ 25,000 No Limit Hold'em (Event #16)European Poker Tour - EPT Monte Carlo, Monte Carlo",8th,"HK$ 23,150"
25-Oct-2018,"€ 10,000 + 500 No Limit Hold'em - Turbo Highroller 10k (Single Day)World Series of Poker Europe - WSOPE 2018, Rozvadov",8th,"$ 2,986"
30-Aug-2018,"€ 25,000 No Limit Hold'em (Event #22)European Poker Tour - EPT Barcelona, Barcelona",2nd,
08-Aug-2018,"₽ 6,000,000 Triton Poker Super High Rollerpartypoker LIVE - partypoker MILLIONS Russia, Sochi",3rd,"$ 457,500"
17-May-2018,"HK$ 1,000,000 No Limit Hold'em - Short Deck Ante Only 1MTriton Poker Super High Roller Series Montenegro, Budva",10th,"$ 380,000"
13-May-2018,"HK$ 250,000 No Limit Hold'em - Six-MaxTriton Poker Super High Roller Series Montenegro, Budva",6th,"$ 2,677,500"
04-Nov-2016,"HK$ 490,000 + 10,000 No Limit Hold'em Main EventTriton Poker Super High Roller Series Philippines, Paranaque City",7th,"$ 1,460,938"
25-Oct-2014,"HK$ 11,000 Deepstack ChampionshipAsia Pacific Poker Tour - APPT Asia Championship of Poker, Macau",7th,"HK$ 980,000"
28-Jun-2013,"$ 235 No Limit Hold'emRio Daily Deepstacks 2013, Las Vegas",173rd,"$ 124,861"
22-Aug-2011,"₱ 10,000 + 1,000 No Limit Hold'emAsian Poker Tour - APT Manila, Manila",1st,"$ 45,576"
