Date,Event Name,Placement,Earning
07-Aug-2023,"$ 25,500 No Limit Hold'em - High Roller (Event 47)Seminole Hard Rock Poker Open (SHRPO), Hollywood",12th,"$ 57,350"
01-Aug-2023,"$ 10,000 No Limit Hold'em - Deep Stack (Event 23)Seminole Hard Rock Poker Open (SHRPO), Hollywood",4th,"$ 65,500"
13-Jul-2023,"$ 320 No Limit Hold'em (Online Ring Event #13)World Series of Poker Circuit - WSOPC ONLINE Super Circuit, Online",2nd,"$ 20,569"
02-Jul-2023,"$ 1,000 No Limit Hold'em - Mini Main Event (Bracelet Event 74)54th World Series of Poker - WSOP 2023, Las Vegas",590th,"$ 1,751"
26-Jun-2023,"$ 3,000 No Limit Hold'em - Freezeout (Bracelet Event 59)54th World Series of Poker - WSOP 2023, Las Vegas",153rd,"$ 6,015"
21-Jun-2023,"$ 10,000 Pot Limit Omaha Championship - 8-Handed (Bracelet Event 50)54th World Series of Poker - WSOP 2023, Las Vegas",69th,"$ 20,110"
09-Jun-2023,"$ 50,000 No Limit Hold'em - High Roller - 8-Handed (Bracelet Event 23)54th World Series of Poker - WSOP 2023, Las Vegas",4th,"$ 512,824"
04-Jun-2023,"$ 1,000 No Limit Hold'em - Deepstack (Online Bracelet Event 3) (NV/NJ Only)World Series of Poker - WSOP ONLINE 2023 (US ONLY), Online",49th,"$ 2,931"
12-May-2023,"$ 25,000 No Limit Hold'em - High Roller #4The Lodge Championship Series, Round Rock",1st,"$ 235,000"
05-May-2023,"$ 3,800 No Limit Hold'em - WPT Championship (Event 62)World Poker Tour - WPT Choctaw, Durant",9th,"$ 38,600"
28-Apr-2023,"$ 3,500 No Limit Hold'em - WPT Showdown Championship (Event 47)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",154th,"$ 7,050"
26-Apr-2023,"$ 50,000 No Limit Hold'em - Super High Roller (Event 42)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",2nd,"$ 282,573"
30-Mar-2023,"$ 1,100 + $500 No Limit Hold'em - Mystery Bounty (Event 39)Venetian DeepStack Showdown, Las Vegas",1st,"$ 109,010"
25-Mar-2023,"$ 10,000 No Limit Hold'em - U.S. Poker Open #3PokerGO Tour - 2023 U.S. Poker Open, Las Vegas",13th,"$ 18,600"
17-Mar-2023,"$ 10,000 + 5,000 Pot Limit Omaha - Bounty (Event #7)PokerGO Tour - 2023 PGT PLO Series, Las Vegas",3rd,"$ 125,400"
03-Mar-2023,"$ 3,500 No Limit Hold'em - Wynn Millions ChampionshipWynn Millions Poker Series, Las Vegas",42nd,"$ 19,368"
01-Mar-2023,"$ 3,000 No Limit Hold'em - 6-MaxWynn Millions Poker Series, Las Vegas",2nd,"$ 112,006"
23-Feb-2023,"$ 1,100 +$500 No Limit Hold'em - Mystery BountyWynn Millions Poker Series, Las Vegas",111th,"$ 2,585"
17-Feb-2023,"$ 1,700 No Limit Hold'em - Main Event (Ring Event 10)World Series of Poker Circuit - WSOPC Las Vegas, Las Vegas",2nd,"$ 140,512"
24-Jan-2023,"$ 5,000 No Limit Hold'em - Deep Stack - 8-Handed (Event 41)2023 Lucky Hearts Poker Open, Hollywood",7th,"$ 17,000"
17-Jan-2023,"$ 25,000 No Limit Hold'em - PokerGO Cup #6PokerGO Tour - 2023 PGT PokerGO Cup, Las Vegas",1st,"$ 317,040"
05-Jan-2023,"$ 1,600 No Limit Hold'em - CardPlayer Poker Tour (Event 53)DeepStack Extravaganza NYE, Las Vegas",52nd,"$ 3,938"
15-Dec-2022,"$ 2,750 + 250 No Limit Hold'emWorld Poker Tour - WPT World Championship at Wynn Las Vegas, Las Vegas",53rd,"$ 11,025"
27-Nov-2022,"$ 1,200 No Limit Hold'em - Deep Stack - $500 Bounty (Event 33)WPT Rock 'N' Roll Poker Open, Hollywood",9th,"$ 4,715"
20-Oct-2022,"$ 320 No Limit Hold'em - Knockout Freezeout ONLINE (Ring Event 5)World Series of Poker Circuit - WSOPC ONLINE Series, Online",37th,$ 355
14-Oct-2022,"$ 500 No Limit Hold'em - Super Turbo ONLINE (Online Bracelet Event #27)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",48th,"$ 1,313"
09-Oct-2022,"$ 1,500 No Limit Hold'em - Freezeout ONLINE (Online Bracelet Event #23)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",27th,"$ 2,449"
02-Oct-2022,"$ 1,000 No Limit Hold'em - Turbo Deepstack ONLINE (Online Bracelet Event #18)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",8th,"$ 6,780"
20-Sep-2022,"$ 600 No Limit hold'em - Deepstack Championship ONLINE (Online Bracelet Event #9)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",14th,"$ 2,475"
11-Sep-2022,"$ 500 No Limit Hold'em - MonsterStack ONLINE (Online Bracelet Event #2)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",122nd,$ 650
10-Sep-2022,"$ 400 No Limit Hold'em Series Kick-Off ONLINE (Online Bracelet Event #1)World Series of Poker - WSOP ONLINE at WSOP.com (NV/NJ), Online",37th,"$ 1,169"
05-Aug-2022,"$ 5,300 No Limit Hold'em - SHRPO Championship (Event 32)Seminole Hard Rock Poker Open (SHRPO), Hollywood",47th,"$ 17,875"
17-Jul-2022,"$ 1,000 No Limit Hold'em - Super Turbo (Event #88)53rd World Series of Poker - WSOP 2022, Las Vegas",48th,"$ 3,828"
06-Jul-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #11PokerGO Tour - PGT Aria High Roller Summer Series 2022, Las Vegas",7th,"$ 18,400"
27-Jun-2022,"$ 1,500 Pot Limit Omaha Hi-Lo 8 or Better (Event #58)53rd World Series of Poker - WSOP 2022, Las Vegas",33rd,"$ 7,161"
23-Jun-2022,"$ 250,000 No Limit Hold'em - Super High Roller (Event #50)53rd World Series of Poker - WSOP 2022, Las Vegas",1st,"$ 4,563,700"
15-Jun-2022,"$ 3,000 No Limit Hold'em - 6-Handed (Event #33)53rd World Series of Poker - WSOP 2022, Las Vegas",138th,"$ 5,254"
08-Jun-2022,"$ 3,000 No Limit Hold'em (Event #16)53rd World Series of Poker - WSOP 2022, Las Vegas",5th,"$ 133,300"
13-May-2022,"$ 3,500 + 300 No Limit Hold'em - WPT Choctaw Championship (Event 64)World Poker Tour - WPT Choctaw, Durant",21st,"$ 17,500"
06-Apr-2022,"$ 50,000 No Limit Hold'em - Super High Roller (Event 31)World Poker Tour - WPT Seminole Hard Rock Poker Showdown, Hollywood",2nd,"$ 515,587"
22-Mar-2022,"$ 15,000 No Limit Hold'em - US Poker Open #7PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",1st,"$ 283,500"
17-Mar-2022,"$ 10,000 Pot Limit Omaha - US Poker Open #2PokerGO Tour - 2022 PGT U.S. Poker Open (USPO), Las Vegas",6th,"$ 46,200"
27-Feb-2022,"$ 525 No Limit Hold'em - Main Event 8-Max (Event 10)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",93rd,"$ 1,028"
25-Feb-2022,"$ 10,000 No Limit Hold'em - Aria High Roller #2PokerGO Tour - PGT Aria High Roller Series 2022, Las Vegas",3rd,"$ 57,600"
23-Feb-2022,"$ 320 No Limit Hold'em 6-Max (Event 6)World Series of Poker Circuit - WSOPC ONLINE Circuit, Online",44th,$ 510
18-Feb-2022,"$ 2,500 No Limit Hold'em - UltimateStack (Event 27)Venetian DeepStack Extravaganza I, Las Vegas",35th,"$ 6,782"
17-Jan-2022,"$ 25,000 + 500 No Limit Hold'em - Stairway to Millions #6PokerGO Tour - 2022 PGT Stairway to Millions, Las Vegas",3rd,"$ 100,000"
05-Jan-2022,"$ 10,000 No Limit Hold'em - Venetian High Roller #1PokerGO Tour - PGT Venetian High Rollers, Las Vegas",4th,"$ 37,400"
11-Dec-2021,"$ 25,000 No Limit Hold'em - PokerGO Tour High Roller (Event #20)World Poker Tour - WPT Five Diamond World Poker Classic at Bellagio, Las Vegas",2nd,"$ 97,500"
26-Nov-2021,"$ 3,200 + 300 No Limit Hold'em - WPT Main EventWorld Poker Tour - WPT Rock 'N' Roll Poker Open, Hollywood",187th,"$ 5,560"
08-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 33PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",7th,"$ 30,500"
04-Nov-2021,"$ 10,000 No Limit Hold'em - Aria High Roller 29PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",3rd,"$ 65,600"
19-Oct-2021,"$ 1,600 No Limit Hold'emThe Wynn Fall Classic, Las Vegas",12th,"$ 24,189"
03-Oct-2021,"$ 500 No Limit Hold'em - BIG 500 (Event #2) ONLINEWorld Series of Poker - 2021 WSOP Online Gold Bracelet Events, Online",100th,$ 768
29-Sep-2021,"$ 25,000 No Limit Hold'em - Aria High Roller 23PokerGO Tour - PGT Aria High Roller Series 2021, Las Vegas",2nd,"$ 82,500"
18-Sep-2021,"$ 100,000 No Limit Hold'em - Poker Masters #12PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",3rd,"$ 464,000"
14-Sep-2021,"$ 25,000 No Limit Hold'em - Poker Masters #8PokerGO Tour - 2021 PGT Poker Masters, Las Vegas",7th,"$ 71,250"
08-Aug-2021,"$ 2,650 No Limit Hold'em (Event #35)Seminole Hard Rock Poker Open (SHRPO), Hollywood",36th,"$ 6,775"
27-Jul-2021,"$ 3,200 No Limit Hold'em - High Roller Championship ONLINE (WSOP Event #28)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",23rd,"$ 6,445"
25-Jul-2021,"$ 500 No Limit Hold'em - The Big 500 Enore ONLINE (WSOP Event #26)World Series of Poker - WSOP ONLINE 2021 (US ONLY), Online",54th,"$ 1,610"
